idItem,Versao_Uniclass,nivel_item,code_item,Group,Subgroup,Section,object_item,title_item,titulo_SECClasS,descricao_SECClasS,Comentarios,Data_traducao,Autor,code_tabela
1,1.19,0,En_20,20,,,,"Administrative, commercial and protective service entities","Entidades de serviços administrativos, comerciais e de proteção",,,,,Entidades
2,1.19,,En_20_10,20,10,,,Legislative entities,Entidades legislativas,,,,,Entidades
3,1.19,,En_20_10_45,20,10,45,,Governmental buildings,Edifícios governamentais,,,,,Entidades
4,1.19,,En_20_15,20,15,,,Administrative office entities,Entidades administrativas,,,,,Entidades
5,1.19,,En_20_15_10,20,15,10,,Multiple occupation office buildings,Edifícios de escritórios com várias ocupações,,,,,Entidades
6,1.19,,En_20_15_70,20,15,70,,Single occupation office buildings,Edifícios de escritórios de ocupação única,,,,,Entidades
7,1.19,,En_20_20,20,20,,,Secular representative entities,Entidades representativas seculares,,,,,Entidades
8,1.19,,En_20_20_10,20,20,10,,Buildings for representatives of nation states abroad,Edifícios representativos da nação no estrangeiro,,,,,Entidades
9,1.19,,En_20_20_40,20,20,40,,Local government buildings,Edifícios do governo local,,,,,Entidades
10,1.19,,En_20_20_50,20,20,50,,National government buildings,Edifícios do governo nacional,,,,,Entidades
11,1.19,,En_20_20_70,20,20,70,,Regional government buildings,Edifícios do governo regional,,,,,Entidades
12,1.19,,En_20_45,20,45,,,Motor vehicle maintenance and fuelling entities,Entidades de manutenção e abastecimento de veículos motorizados,,,,,Entidades
13,1.19,,En_20_45_50,20,45,50,,Motor vehicle fuelling and charging entities,Entidades de abastecimento e carregamento de veículos motorizados,,,,,Entidades
14,1.19,,En_20_45_54,20,45,54,,Motor vehicle servicing and repair entities,Entidades de manutenção e reparo de veículos motorizados,,,,,Entidades
15,1.19,,En_20_50,20,50,,,Commercial entities,Entidades comerciais,,,,,Entidades
16,1.19,,En_20_50_05,20,50,5,,Auction buildings,Edifícios de leiloeiras,,,,,Entidades
17,1.19,,En_20_50_22,20,50,22,,Department stores,Loja de departamento,,,,,Entidades
18,1.19,,En_20_50_29,20,50,29,,Financial and professional services buildings,Edifícios de serviços financeiros e profissionais,,,,,Entidades
19,1.19,,En_20_50_50,20,50,50,,Markets,Mercados,,,,,Entidades
20,1.19,,En_20_50_53,20,50,53,,Mixed use buildings,Edifícios de uso misto,,,,,Entidades
21,1.19,,En_20_50_55,20,50,55,,Motor vehicle sales entities,Entidades de vendas de veículos motorizados,,,,,Entidades
22,1.19,,En_20_50_80,20,50,80,,Shop units,Lojas,,,,,Entidades
23,1.19,,En_20_50_85,20,50,85,,Supermarkets,Supermercados,,,,,Entidades
24,1.19,,En_20_50_97,20,50,97,,Wholesale buildings,Edifícios de venda por atacado,,,,,Entidades
25,1.19,,En_20_55,20,55,,,Postal communications entities,Entidades de comunicação postal,,,,,Entidades
26,1.19,,En_20_55_65,20,55,65,,Post office buildings,Edifícios de correios,,,,,Entidades
27,1.19,,En_20_55_80,20,55,80,,Sorting office buildings,Edifícios de triagem do correio,,,,,Entidades
28,1.19,,En_20_60,20,60,,,Military entities,Entidades militares,,,,,Entidades
29,1.19,,En_20_60_02,20,60,2,,Air force buildings,Edifícios da Força Aérea,,,,,Entidades
30,1.19,,En_20_60_10,20,60,10,,Army buildings,Edifícios do Exército / Edifícos Militares do Exército,,,,,Entidades
31,1.19,,En_20_60_56,20,60,56,,Navy buildings,Edifícios da Marinha / Edifícos Militares da Marinha,,,,,Entidades
32,1.19,,En_20_65,20,65,,,Law enforcement operational entities,Entidades das forças de segurança pública,,,,,Entidades
33,1.19,,En_20_65_09,20,65,9,,Police buildings,Edifícios da polícia,,,,,Entidades
34,1.19,,En_20_70,20,70,,,Judicial entities,Entidades judiciais,,,,,Entidades
35,1.19,,En_20_70_40,20,70,40,,Law court buildings,Tribunais,,,,,Entidades
36,1.19,,En_20_75,20,75,,,Detention entities,Entidades de detenção,,,,,Entidades
37,1.19,,En_20_75_10,20,75,10,,Detention buildings,Estabelecimento prisional,,,,,Entidades
38,1.19,,En_20_80,20,80,,,Weapons training ranges,Carreiras de tiro,,,,,Entidades
39,1.19,,En_20_80_29,20,80,29,,Firing range buildings,Carreiras de tiro interiores,,,,,Entidades
40,1.19,,En_20_80_30,20,80,30,,Exterior firing ranges,Carreiras de tiro exterior,,,,,Entidades
41,1.19,,En_20_85,20,85,,,Security entities,Entidades de segurança,,,,,Entidades
42,1.19,,En_20_85_15,20,85,15,,Security control buildings,Edifícios de controlo de segurança,,,,,Entidades
43,1.19,,En_20_85_30,20,85,30,,Security fences,Cercas de segurança,,,,,Entidades
44,1.19,,En_20_90,20,90,,,Incident support entities,Entidades de suporte à emergência,,,,,Entidades
45,1.19,,En_20_90_10,20,90,10,,Fire and rescue training buildings,Edifícios de treino de combate a incêndio e salvamento,,,,,Entidades
46,1.19,,En_20_90_15,20,90,15,,Fire station buildings,Quarteis de bombeiros,,,,,Entidades
47,1.19,,En_25,25,,,,"Cultural, educational, scientific and information entities","Entidades culturais, educacionais, científicas e de informação",,,,,Entidades
48,1.19,,En_25_05,25,5,,,Commemoration entities,Entidades comemorativas,,,,,Entidades
49,1.19,,En_25_05_35,25,5,35,,Gardens of remembrance,Jardins memoriais,,,,,Entidades
50,1.19,,En_25_05_50,25,5,50,,Memorials,Memoriais,,,,,Entidades
51,1.19,,En_25_05_55,25,5,55,,Monuments,Monumentos,,,,,Entidades
52,1.19,,En_25_10,25,10,,,Educational entities,Entidades educacionais,,,,,Entidades
53,1.19,,En_25_10_10,25,10,10,,Preschool educational buildings,Edifícios de ensino pré-escolar,,,,,Entidades
54,1.19,,En_25_10_20,25,10,20,,Infant educational buildings,Edifícios de ensino infantil,,,,,Entidades
55,1.19,,En_25_10_30,25,10,30,,Primary educational buildings,Edifícios de ensino primário,,,,,Entidades
56,1.19,,En_25_10_40,25,10,40,,Secondary educational buildings,Edifícios de ensino secundário,,,,,Entidades
57,1.19,,En_25_10_50,25,10,50,,Pre-tertiary educational buildings,Edifícios de ensino pré-terciário,,,,,Entidades
58,1.19,,En_25_10_60,25,10,60,,Tertiary educational buildings,Edifícios de ensino superior,,,,,Entidades
59,1.19,,En_25_10_70,25,10,70,,Adult educational buildings,Edifícios educacionais para adultos,,,,,Entidades
60,1.19,,En_25_30,25,30,,,Scientific and laboratory entities,Entidades científicas e laboratoriais,,,,,Entidades
61,1.19,,En_25_30_40,25,30,40,,Laboratory buildings,Edifícios de laboratórios,,,,,Entidades
62,1.19,,En_25_30_50,25,30,50,,Meteorological stations,Estações meteorológicas,,,,,Entidades
63,1.19,,En_25_30_60,25,30,60,,Observatory buildings,Observatórios,,,,,Entidades
64,1.19,,En_25_30_66,25,30,66,,Observatory antennas,Antenas de observatório,,,,,Entidades
65,1.19,,En_25_30_70,25,30,70,,Research buildings,Edifícios de Investigação,,,,,Entidades
66,1.19,,En_25_30_77,25,30,77,,Seed banks,Banco de sementes,,,,,Entidades
67,1.19,,En_25_30_90,25,30,90,,Triangulation pillars,Pilares de triangulação,,,,,Entidades
68,1.19,,En_25_50,25,50,,,Exhibition entities,Entidades de exposição,,,,,Entidades
69,1.19,,En_25_50_02,25,50,2,,Art exhibition buildings,Edifícios de exposição de arte,,,,,Entidades
70,1.19,,En_25_50_04,25,50,4,,Art installations,Instalações de arte,,,,,Entidades
71,1.19,,En_25_50_15,25,50,15,,Collection exhibition buildings,Edifícios expositivos de coleções,,,,,Entidades
72,1.19,,En_25_50_29,25,50,29,,Fauna exhibition buildings,Edifícios expositivos para animais,,,,,Entidades
73,1.19,,En_25_50_30,25,50,30,,Fauna exhibition grounds,Recintos expositivos para animais,,,,,Entidades
74,1.19,,En_25_50_31,25,50,31,,Flora exhibition buildings,Edifícios expositivos para plantas,,,,,Entidades
75,1.19,,En_25_50_32,25,50,32,,Flora exhibition grounds,Recintos expositivos para plantas,,,,,Entidades
76,1.19,,En_25_50_54,25,50,54,,Multipurpose exhibition buildings,Edifícios de exposição multi-uso,,,,,Entidades
77,1.19,,En_25_70,25,70,,,Information entities,Entidades de informação,,,,,Entidades
78,1.19,,En_25_70_02,25,70,2,,Archive buildings,Edifícios de arquivo,,,,,Entidades
79,1.19,,En_25_70_13,25,70,13,,Conference buildings,Edifícios de conferências,,,,,Entidades
80,1.19,,En_25_70_42,25,70,42,,Information kiosks,Quiosques de informação,,,,,Entidades
81,1.19,,En_25_70_47,25,70,47,,Library buildings,Bibliotecas,,,,,Entidades
82,1.19,,En_25_90,25,90,,,Worship entities,Entidades de culto,,,,,Entidades
83,1.19,,En_25_90_30,25,90,30,,Faith worship buildings,Edifícios de culto religioso,,,,,Entidades
84,1.19,,En_30,30,,,,Industrial entities,Entidades industriais,,,,,Entidades
85,1.19,,En_30_10,30,10,,,Mineral extraction entities,Entidades de extração mineral,,,,,Entidades
86,1.19,,En_30_10_57,30,10,57,,Offshore oil and gas extraction platforms,Plataformas de extração de petróleo e gás offshore,,,,,Entidades
87,1.19,,En_30_10_80,30,10,80,,Spoil heaps,Depósito de resíduos de minas,,,,,Entidades
88,1.19,,En_30_10_85,30,10,85,,Surface mining structures,Estruturas de mineração de superfície,,,,,Entidades
89,1.19,,En_30_10_86,30,10,86,,Surface mining cuttings,Aterro para mineração de superfície,,,,,Entidades
90,1.19,,En_30_10_90,30,10,90,,Underground mining structures,Estruturas de mineração subterrânea,,,,,Entidades
