idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
33000,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,1,10,,,,Zz_10,Title sheet,Folha de rosto,false,,Desenho CAD,
33001,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,2,10,20,,,Zz_10_20,Drawing frame,Moldura de Desenho,false,,Desenho CAD,
33002,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,10,20,45,,Zz_10_20_45,Logo,Logotipo,false,,Desenho CAD,
33003,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,10,20,95,,Zz_10_20_95,Viewports,Janelas de visualização,false,,Desenho CAD,
33004,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,2,10,40,,,Zz_10_40,Hold clouds and notation,Nuvens e notas,false,,Desenho CAD,
33005,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,2,10,70,,,Zz_10_70,Revisions,Revisões,false,,Desenho CAD,
33006,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,10,70,5,,Zz_10_70_05,Annotation,Anotação,false,,Desenho CAD,
33007,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,10,70,10,,Zz_10_70_10,Blocks and cells,Blocos e células,false,,Desenho CAD,
33008,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,10,70,20,,Zz_10_70_20,Clouds and notations,Nuvens de revisão,false,,Desenho CAD,
33009,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,2,10,80,,,Zz_10_80,Status stamps,Marcas de estado,false,,Desenho CAD,
33010,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,1,20,,,,Zz_20,Textual content,Conteúdo textual,false,,Desenho CAD,
33011,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,2,20,10,,,Zz_20_10,Annotation,Anotação,false,,Desenho CAD,
33012,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,20,10,40,,Zz_20_10_40,Keynotes,Notas chave,false,,Desenho CAD,
33013,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,20,10,45,,Zz_20_10_45,Labels,Etiquetas,false,,Desenho CAD,
33014,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,20,10,50,,Zz_20_10_50,Leaders,Linhas de chamada,false,,Desenho CAD,
33015,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,20,10,55,,Zz_20_10_55,Notes,Notas,false,,Desenho CAD,
33016,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,20,10,70,,Zz_20_10_70,Reference,Referência,false,,Desenho CAD,
33017,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,20,10,85,,Zz_20_10_85,Tags,Identificadores,false,,Desenho CAD,
33018,SECClasS,2021-06-25T00:00:00.000+00:00,1,1,CAD,,3,20,10,90,,Zz_20_10_90,Text,Texto,false,,Desenho CAD,
