idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
2000,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,1,5,,,,Ac_05,Project management activities,Atividades de gestão de projeto,false,,Gestão de projeto,
2001,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,5,0,,,Ac_05_00,Strategy stage activities,Atividades da fase estratégica,false,,Gestão de projeto,
2002,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,0,10,,Ac_05_00_10,Business case development,Desenvolvimento do modelo de negócio,false,,Gestão de projeto,
2003,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,0,80,,Ac_05_00_80,Strategic brief preparation,Preparação do sumário estratégico,false,,Gestão de projeto,
2004,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,0,82,,Ac_05_00_82,Strategic brief submission,Submissão do sumário estratégico,false,,Gestão de projeto,
2005,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,5,10,,,Ac_05_10,Brief stage activities,Atividades da fase de sumário estratégico,false,,Gestão de projeto,
2006,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,10,15,,Ac_05_10_15,Cost estimate preparation,Preparação da estimativa de custo,false,,Gestão de projeto,
2007,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,10,17,,Ac_05_10_17,Cost estimate submission,Submissão da estimativa de custo,false,,Gestão de projeto,
2008,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,10,29,,Ac_05_10_29,Feasibility study preparation,Preparação do estudo de viablidade,false,,Gestão de projeto,
2009,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,10,31,,Ac_05_10_31,Feasibility study submission,Submissão do estudo de viablidade,false,,Gestão de projeto,
2010,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,10,61,,Ac_05_10_61,Preliminary design preparation,Preparação do projeto preliminar,false,,Gestão de projeto,
2011,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,10,63,,Ac_05_10_63,Preliminary design submission,Submissão do projeto preliminar,false,,Gestão de projeto,
2012,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,10,65,,Ac_05_10_65,Project brief and objectives preparation,Preparação do sumário estratégico e preparação de objetivos,false,,Gestão de projeto,
2013,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,10,67,,Ac_05_10_67,Project brief and objectives submission,Submissão do sumário estratégico e preparação de objetivos,false,,Gestão de projeto,
2014,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,5,20,,,Ac_05_20,Concept stage activities,Atividades da fase de conceito,false,,Gestão de projeto,
2015,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,20,15,,Ac_05_20_15,Concept cost report preparation,Preparação do relatório de custo da fase do conceito,false,,Gestão de projeto,
2016,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,20,17,,Ac_05_20_17,Concept cost report submission,Envio do relatório de custo da fase do conceito,false,,Gestão de projeto,
2017,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,20,21,,Ac_05_20_21,Concept design development,Desenvolvimento do projecto na fase do conceito,false,,Gestão de projeto,
2018,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,20,23,,Ac_05_20_23,Concept design report preparation,Preparação do relatório do projeto na fase do conceito,false,,Gestão de projeto,
2019,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,20,25,,Ac_05_20_25,Concept design report submission,Submissão do relatório de projeto do conceito,false,,Gestão de projeto,
2020,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,5,30,,,Ac_05_30,Definition stage activities,Atividades da fase de definição,false,,Gestão de projeto,
2021,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,3,,Ac_05_30_03,Agreement negotiating,Negociação,false,,Gestão de projeto,
2022,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,10,,Ac_05_30_10,Building regulation assessing,Avaliação dos regulamentos de construção,false,,Gestão de projeto,
2023,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,21,,Ac_05_30_21,Definition design cost report preparation,Elaboração do relatório de custos do projeto,false,,Gestão de projeto,
2024,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,23,,Ac_05_30_23,Definition design cost report submission,Submissão de relatório de custo do projeto de definição,false,,Gestão de projeto,
2025,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,25,,Ac_05_30_25,Definition design development,Desenvolvimento do projeto de definição,false,,Gestão de projeto,
2026,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,27,,Ac_05_30_27,Definition design report preparation,Preparação do relatório do projeto de definição,false,,Gestão de projeto,
2027,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,28,,Ac_05_30_28,Definition design submission,Envio do projeto de definição,false,,Gestão de projeto,
2028,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,29,,Ac_05_30_29,Drainage adoption agreeing,Acordo da adoção de drenagem (?),true,Para revisão.,Gestão de projeto,
2029,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,37,,Ac_05_30_37,Highways adoption agreeing,Acordo da adoção de rodovias (?),true,Para revisão.,Gestão de projeto,
2030,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,60,,Ac_05_30_60,Party wall notices agreeing,Acordo de vizinhança (?),true,Para revisão.,Gestão de projeto,
2031,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,64,,Ac_05_30_64,Planning preparation,Planeamento,false,,Gestão de projeto,
2032,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,30,85,,Ac_05_30_85,Sustainability assessing,Avaliação de sustentabilidade,false,,Gestão de projeto,
2033,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,5,40,,,Ac_05_40,Design stage activities,Atividades da fase de projeto,false,,Gestão de projeto,
2034,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,40,60,,Ac_05_40_60,Prototype requesting,Solicitação do protótipo,false,,Gestão de projeto,
2035,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,40,70,,Ac_05_40_70,Sample requesting,Solicitação da amostra,false,,Gestão de projeto,
2036,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,40,85,,Ac_05_40_85,Technical design cost report preparation,Preparação do relatório de custo do projeto técnico,false,,Gestão de projeto,
2037,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,40,87,,Ac_05_40_87,Technical design development,Desenvolvimento do projeto técnico,false,,Gestão de projeto,
2038,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,40,89,,Ac_05_40_89,Technical design report preparation,Preparação do projeto técnico,false,,Gestão de projeto,
2039,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,40,91,,Ac_05_40_91,Technical design submission,Submisão de projeto técnico,false,,Gestão de projeto,
2040,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,5,50,,,Ac_05_50,Build and commission stage activities,Atividades da fase de comissão e construção,false,,Gestão de projeto,
2041,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,15,,Ac_05_50_15,Contractor mobilizing,Mobilização de empreiteiros,false,,Gestão de projeto,
2042,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,41,,Ac_05_50_41,Information submitting,Submisão de informações,false,,Gestão de projeto,
2043,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,43,,Ac_05_50_43,Inspecting,Inspeção,false,,Gestão de projeto,
2044,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,51,,Ac_05_50_51,Measuring,Medição,false,,Gestão de projeto,
2045,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,54,,Ac_05_50_54,Monitoring,Monitorização,false,,Gestão de projeto,
2046,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,60,,Ac_05_50_60,Prototype submission,Submisão do protótipo,false,,Gestão de projeto,
2047,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,70,,Ac_05_50_70,Sample submission,Envio da amostra,false,,Gestão de projeto,
2048,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,72,,Ac_05_50_72,Setting out,Demonstração,false,,Gestão de projeto,
2049,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,75,,Ac_05_50_75,Starting on site,Preparação do estaleiro de obra,false,,Gestão de projeto,
2050,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,85,,Ac_05_50_85,Tender analyzing,Análise de propostas,false,,Gestão de projeto,
2051,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,87,,Ac_05_50_87,Tender negotiating,Negociação de propostas,false,,Gestão de projeto,
2052,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,89,,Ac_05_50_89,Tender recommendation reporting,Relatório de recomendação da proposta,false,,Gestão de projeto,
2053,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,91,,Ac_05_50_91,Timber sourcing,Fornecimento de madeira,false,,Gestão de projeto,
2054,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,50,97,,Ac_05_50_97,Works commencing,Início da obra,false,,Gestão de projeto,
2055,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,5,60,,,Ac_05_60,Handover and closeout stage activities,Atividades da fase de transferência e encerramento,false,,Gestão de projeto,
2056,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,60,10,,Ac_05_60_10,Building contract administrating,Administração de contratos de construção,false,,Gestão de projeto,
2057,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,60,15,,Ac_05_60_15,Completing,Conclusão,false,,Gestão de projeto,
2058,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,60,30,,Ac_05_60_30,Final clean,Limpeza final da obra,false,,Gestão de projeto,
2059,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,60,35,,Ac_05_60_35,Handing over,Entrega,false,,Gestão de projeto,
2060,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,60,60,,Ac_05_60_60,Partial handing over,Entrega parcial,false,,Gestão de projeto,
2061,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,60,70,,Ac_05_60_70,Rectifying non-compliant items,Retificação de não-conformidades,false,,Gestão de projeto,
2062,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,60,80,,Ac_05_60_80,Sectional completing,Conclusão parcial,false,,Gestão de projeto,
2063,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,5,70,,,Ac_05_70,Operation and end of life stage activities,Operação e atividades da fase de fim de vida,false,,Gestão de projeto,
2064,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,70,10,,Ac_05_70_10,Building user assisting,Assistência ao utilizador do edifício,false,,Gestão de projeto,
2065,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,5,70,48,,Ac_05_70_48,Logistics,Logística,false,,Gestão de projeto,
2066,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,1,10,,,,Ac_10,"Preparation, construction and repair","Preparação, construção e reparação",false,,Gestão de obra,
2067,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,10,10,,,Ac_10_10,Deconstruction and demolition,Desconstrução e demolição,false,,Gestão de obra,
2068,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,10,20,,Ac_10_10_20,Deconstruction,Desconstrução,false,,Gestão de obra,
2069,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,10,25,,Ac_10_10_25,Demolition,Demolição,false,,Gestão de obra,
2070,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,10,20,,,Ac_10_20,Decontamination,Descontaminação,false,,Gestão de obra,
2071,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,10,30,,,Ac_10_30,Site clearance,Limpeza do local,false,,Gestão de obra,
2072,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,30,10,,Ac_10_30_10,Bush and scrub removal,Remoção de arbustos,false,,Gestão de obra,
2073,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,30,15,,Ac_10_30_15,Constructed material clearance,Libertação de material construido,false,,Gestão de obra,
2074,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,30,80,,Ac_10_30_80,Soil removal,Remoção de solo,false,,Gestão de obra,
2075,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,30,90,,Ac_10_30_90,Tree removal,Remoção de árvores,false,,Gestão de obra,
2076,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,10,40,,,Ac_10_40,Construction,Construção,false,,Gestão de obra,
2077,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,8,,Ac_10_40_08,Bricklaying,Assentamento de tijolos,false,,Gestão de obra,
2078,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,11,,Ac_10_40_11,Carpentry and joinery,Carpintaria e marcenaria,false,,Gestão de obra,
2079,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,13,,Ac_10_40_13,Carpet laying,Colocação de carpetes,false,,Gestão de obra,
2080,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,22,,Ac_10_40_22,Diamond drilling,Perfuração a diamante,false,,Gestão de obra,
2081,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,25,,Ac_10_40_25,Ductwork installing,Instalação de dutos,false,,Gestão de obra,
2082,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,27,,Ac_10_40_27,Electrical system installing,Instalação do sistema elétrico,false,,Gestão de obra,
2083,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,30,,Ac_10_40_30,Formwork installing,Instalação da cofragem,false,,Gestão de obra,
2084,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,41,,Ac_10_40_41,Internal fitting out,Colocação do acamento interno,false,,Gestão de obra,
2085,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,60,,Ac_10_40_60,Painting and decorating,Pintura e decoração,false,,Gestão de obra,
2086,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,63,,Ac_10_40_63,Pipe fitting,Encaixe de tubulação,false,,Gestão de obra,
2087,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,65,,Ac_10_40_65,Plastering and rendering,Reboco e renderização,false,,Gestão de obra,
2088,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,67,,Ac_10_40_67,Plumbing,Instação da canalização,false,,Gestão de obra,
2089,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,40,88,,Ac_10_40_88,Tiling,Colocação do revestimento,false,,Gestão de obra,
2090,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,10,60,,,Ac_10_60,Protection activities,Atividades de proteção,false,,Gestão de obra,
2091,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,60,90,,Ac_10_60_90,Tree protecting,Proteção da vegetação,false,,Gestão de obra,
2092,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,10,70,,,Ac_10_70,"Remediation, repair and renovation","Remediação, reparação e renovação",false,,Gestão de obra,
2093,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,70,65,,Ac_10_70_65,Remediation,Remediação,false,,Gestão de obra,
2094,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,70,70,,Ac_10_70_70,Renovation,Renovação,false,,Gestão de obra,
2095,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,10,70,75,,Ac_10_70_75,Repair,Reparação,false,,Gestão de obra,
2096,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,10,80,,,Ac_10_80,Structure moving,Realocação da estrutura,false,,Gestão de obra,
2097,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,1,15,,,,Ac_15,Survey activities,Atividades de pesquisa,false,,Genérico,
2098,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,15,5,,,Ac_15_05,Aquatic surveying,Inspeção aquática,false,,Eng. Hidráulica,
2099,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,5,11,,Ac_15_05_11,Canals surveying,Levantamento de canais,false,,Eng. Hidráulica,
2100,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,5,15,,Ac_15_05_15,Coastal surveying,Levantamento costeiro,false,,Eng. Hidráulica,
2101,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,5,36,,Ac_15_05_36,Hydrological surveying,Levantamento hidrológico,false,,Eng. Hidráulica,
2102,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,5,46,,Ac_15_05_46,Lakes and ponds surveying,Levantamento de lagos e lagoas,false,,Eng. Hidráulica,
2103,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,5,70,,Ac_15_05_70,Reservoirs surveying,Levantamento de reservatórios,false,,Eng. Hidráulica,
2104,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,5,72,,Ac_15_05_72,Rivers and streams surveying,Levantamento de rios e riachos,false,,Eng. Hidráulica,
2105,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,5,73,,Ac_15_05_73,River estuary surveying,Levantamento do estuário do rio,false,,Eng. Hidráulica,
2106,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,2,15,10,,,Ac_15_10,Surveying methods,Métodos de levantamento,false,,Geotecnia,
2107,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,10,1,,Ac_15_10_01,Acoustic surveying,Prospeção acústica,false,,Geotecnia,
2108,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,10,3,,Ac_15_10_03,Aerial surveying,Prospeção aérea,false,,Geotecnia,
2109,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,10,10,,Ac_15_10_10,Borehole surveying,Sondagens,false,,Geotecnia,
2110,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,10,14,,Ac_15_10_14,Closed-circuit television surveying,Levantamento do circuito fechado de televisão,false,,Geotecnia,
2111,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,10,22,,Ac_15_10_22,Desk top studying,Estudo documental,false,,Geotecnia,
2112,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,10,32,,Ac_15_10_32,Geophysical surveying,Prospeção geofísica,false,,Geotecnia,
2113,SECClasS,2021-06-25T00:00:00.000+00:00,1.13,1,Actividades,,3,15,10,34,,Ac_15_10_34,Ground-penetrating radar surveying,Levantamento de radar de penetração no solo,false,,Geotecnia,
