idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
32000,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,1,10,,,,Ro_10,Management roles,Funções de gestão,false,,Genérico,
32001,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,2,10,10,,,Ro_10_10,Organization roles,Funções da organização,false,,Genérico,
32002,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,5,,Ro_10_10_05,Associate,Associado,false,,Genérico,
32003,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,12,,Ro_10_10_12,Chairman,Presidente,false,,Genérico,
32004,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,14,,Ro_10_10_14,Chief executive officer,Diretor executivo principal,false,,Genérico,
32005,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,16,,Ro_10_10_16,Chief financial officer,Diretor financeiro,false,,Genérico,
32006,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,18,,Ro_10_10_18,Chief operating officer,Diretor de operações,false,,Genérico,
32007,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,20,,Ro_10_10_20,Coordinator,Coordenador,false,,Genérico,
32008,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,25,,Ro_10_10_25,Director,Diretor,false,,Genérico,
32009,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,30,,Ro_10_10_30,Executive director,Diretor executivo,false,,Genérico,
32010,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,50,,Ro_10_10_50,Manager,Gestor,false,,Genérico,
32011,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Agentes,,3,10,10,53,,Ro_10_10_53,Managing director,Diretor de gestão,false,,Genérico,
