idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
1,SECClasS,2021-06-25T00:00:00.000+00:00,1.12,1,Complexos,,1,20,,,,Co_20,"Administrative, commercial and protective service complexes","Complexos de serviços administrativos, comerciais e de segurança",false,,Genérico,
2,SECClasS,2021-06-25T00:00:00.000+00:01,1.12,1,Complexos,,2,20,10,,,Co_20_10,Legislative complexes,Complexos legislativos,false,,Genérico,
3,SECClasS,2021-06-25T00:00:00.000+00:02,1.12,1,Complexos,,3,20,10,60,,Co_20_10_60,Governmental complexes,Complexos governamentais,false,,Genérico,
4,SECClasS,2021-06-25T00:00:00.000+00:03,1.12,1,Complexos,,2,20,15,,,Co_20_15,Administrative complexes,Complexos administrativos,false,,Genérico,
5,SECClasS,2021-06-25T00:00:00.000+00:04,1.12,1,Complexos,,3,20,15,8,,Co_20_15_08,Business parks,Parques empresariais,false,,Genérico,
6,SECClasS,2021-06-25T00:00:00.000+00:05,1.12,1,Complexos,,3,20,15,58,,Co_20_15_58,Office complexes,Complexos de escritórios,false,,Genérico,
7,SECClasS,2021-06-25T00:00:00.000+00:06,1.12,1,Complexos,,2,20,20,,,Co_20_20,Secular representative complexes,Complexos de administração pública,false,,Genérico,
8,SECClasS,2021-06-25T00:00:00.000+00:07,1.12,1,Complexos,,3,20,20,15,,Co_20_20_15,Complexes for representatives of nation states abroad,Complexos de representação de estados no estrangeiro ,false,,Genérico,
9,SECClasS,2021-06-25T00:00:00.000+00:08,1.12,1,Complexos,,3,20,20,40,,Co_20_20_40,Local government complexes,Complexos governamentais locais,false,,Genérico,
10,SECClasS,2021-06-25T00:00:00.000+00:09,1.12,1,Complexos,,3,20,20,50,,Co_20_20_50,National government complexes,Complexos governamentais nacionais,false,,Genérico,
11,SECClasS,2021-06-25T00:00:00.000+00:10,1.12,1,Complexos,,3,20,20,70,,Co_20_20_70,Regional government complexes,Complexos governamentais regionais,false,,Genérico,
12,SECClasS,2021-06-25T00:00:00.000+00:11,1.12,1,Complexos,,2,20,45,,,Co_20_45,Motor vehicle maintenance and fuelling complexes,Complexos de manutenção e abastecimento de veículos motorizados,false,,Genérico,
13,SECClasS,2021-06-25T00:00:00.000+00:12,1.12,1,Complexos,,3,20,45,50,,Co_20_45_50,Motor vehicle fuelling and charging stations,Complexos de abastecimento e carregamento de veículos motorizados ,false,,Genérico,
14,SECClasS,2021-06-25T00:00:00.000+00:13,1.12,1,Complexos,,3,20,45,54,,Co_20_45_54,Motor vehicle servicing complexes,Complexos de reparação de veículos motorizados,false,,Genérico,
15,SECClasS,2021-06-25T00:00:00.000+00:14,1.12,1,Complexos,,2,20,50,,,Co_20_50,Commercial complexes,Complexos comerciais,false,,Genérico,
16,SECClasS,2021-06-25T00:00:00.000+00:15,1.12,1,Complexos,,3,20,50,5,,Co_20_50_05,Auction complexes,Complexos de leiloeiras,false,,Genérico,
17,SECClasS,2021-06-25T00:00:00.000+00:16,1.12,1,Complexos,,3,20,50,50,,Co_20_50_50,Market complexes,Complexos de mercados,false,,Genérico,
18,SECClasS,2021-06-25T00:00:00.000+00:17,1.12,1,Complexos,,3,20,50,53,,Co_20_50_53,Mixed use complexes,Complexos de utilização mista,false,,Genérico,
19,SECClasS,2021-06-25T00:00:00.000+00:18,1.12,1,Complexos,,3,20,50,60,,Co_20_50_60,Parade of shops,Conjuntos de lojas de comércio local,false,,Genérico,
20,SECClasS,2021-06-25T00:00:00.000+00:19,1.12,1,Complexos,,3,20,50,71,,Co_20_50_71,Retail parks,Parques de retalho,false,,Genérico,
