idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
5000,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,1,20,,,,EF_20,Structural elements,Elementos estruturais,false,,Estruturas,
5001,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,20,5,,,EF_20_05,Substructure,Infraestrutura,false,,Estruturas,
5002,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,5,30,,EF_20_05_30,Foundations,Fundações,false,,Estruturas,
5003,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,20,10,,,EF_20_10,Superstructure,Superestrutura,false,,Estruturas,
5004,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,10,15,,EF_20_10_15,Composite structures,Estruturas compósitas,false,,Estruturas,
5005,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,10,30,,EF_20_10_30,Framed structures,Estruturas porticadas,false,,Estruturas,
5006,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,10,50,,EF_20_10_50,Membrane structures,Estruturas de membrana,false,,Estruturas,
5007,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,10,75,,EF_20_10_75,Shell structures,Estruturas de casca,false,,Estruturas,
5008,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,10,80,,EF_20_10_80,Solid structures,Estruturas maciças,false,,Estruturas,
5009,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,20,50,,,EF_20_50,Bridge structures,Estruturas de pontes,false,,Estruturas,
5010,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,50,1,,EF_20_50_01,Abutments,Encontros,false,,Estruturas,
5011,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,50,7,,EF_20_50_07,Bearings,Aparelhos de apoio,false,,Estruturas,
5012,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,50,64,,EF_20_50_64,Piers,Pilares/ Elementos de carga vertical,false,,Estruturas,
5013,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,20,50,82,,EF_20_50_82,Span,Vãos,false,,Estruturas,
5014,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,1,25,,,,EF_25,Wall and barrier elements,Elementos de parede e de barreira,false,,Genérico,
5015,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,25,10,,,EF_25_10,Walls,Paredes,false,,Genérico,
5016,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,25,30,,,EF_25_30,Doors and windows,Portas e janelas,false,,Genérico,
5017,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,25,55,,,EF_25_55,Barriers,Barreiras,false,,Genérico,
5018,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,1,30,,,,EF_30,"Roofs, floor and paving elements","Coberturas, elementos de piso e pavimento",false,,Estruturas,
5019,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,30,10,,,EF_30_10,Roofs,Coberturas,false,,Estruturas,
5020,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,30,20,,,EF_30_20,Floors,Pisos,false,,Estruturas,
5021,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,30,60,,,EF_30_60,Pavements,Pavimentos,false,,Genérico,
5022,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,30,60,60,,EF_30_60_60,Pedestrian paving,Pavimento pedestres,false,,Genérico,
5023,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,30,60,95,,EF_30_60_95,Vehicular paving,Pavimentos para veículos,false,,Genérico,
5024,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,30,70,,,EF_30_70,Bridge decks,Tabuleiros de pontes,false,,Genérico,
5025,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,1,35,,,,EF_35,Stairs and ramps,Escadas e rampas,false,,Genérico,
5026,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,35,10,,,EF_35_10,Stairs,Escadas,false,,Genérico,
5027,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,35,10,30,,EF_35_10_30,External stairs,Escadas externas,false,,Genérico,
5028,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,35,10,40,,EF_35_10_40,Internal stairs,Escadas internas,false,,Genérico,
5029,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,35,20,,,EF_35_20,Ramps,Rampas,false,,Genérico,
5030,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,35,20,30,,EF_35_20_30,External ramps,Rampas externas,false,,Genérico,
5031,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,35,20,40,,EF_35_20_40,Internal ramps,Rampas internas,false,,Genérico,
5032,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,1,37,,,,EF_37,"Tunnel, vessel and tower elements","Túneis, elementos de reservatórios e torres",false,,Eng. Hidráulica,
5033,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,37,16,,,EF_37_16,Vessels and trenches,Reservatórios e valas,false,,Eng. Hidráulica,
5034,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,37,16,90,,EF_37_16_90,Trenches,Valas,false,,Eng. Hidráulica,
5035,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,37,16,94,,EF_37_16_94,Vessels,Reservatórios,false,,Eng. Hidráulica,
5036,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,2,37,17,,,EF_37_17,"Towers, chimneys and masts","Torres, chaminés e mastros",false,,Genérico,
5037,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,37,17,15,,EF_37_17_15,Chimneys,Chaminés,false,,Genérico,
5038,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,37,17,35,,EF_37_17_35,Gantries,Pórticos,false,,Genérico,
5039,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,37,17,50,,EF_37_17_50,Masts,Mastros,false,,Genérico,
5040,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,37,17,70,,EF_37_17_70,Pylons,Postes,false,,Genérico,
5041,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Elementos/ funções,,3,37,17,90,,EF_37_17_90,Towers,Torres,false,,Genérico,
