idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
1000,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,1,20,,,,En_20,"Administrative, commercial and protective service entities","Entidades de serviços administrativos, comerciais e de proteção",false,,Genérico,
1001,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,2,20,10,,,En_20_10,Legislative entities,Entidades legislativas,false,,Genérico,
1002,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,3,20,10,45,,En_20_10_45,Governmental buildings,Edifícios governamentais,false,,Genérico,
1003,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,2,20,15,,,En_20_15,Administrative office entities,Entidades administrativas,false,,Genérico,
1004,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,3,20,15,10,,En_20_15_10,Multiple occupation office buildings,Edifícios de escritórios com várias ocupações,false,,Genérico,
1005,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,3,20,15,70,,En_20_15_70,Single occupation office buildings,Edifícios de escritórios de ocupação única,false,,Genérico,
1006,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,2,20,20,,,En_20_20,Secular representative entities,Entidades representativas seculares,false,,Genérico,
1007,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,3,20,20,10,,En_20_20_10,Buildings for representatives of nation states abroad,Edifícios representativos da nação no estrangeiro,false,,Genérico,
1008,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,3,20,20,40,,En_20_20_40,Local government buildings,Edifícios do governo local,false,,Genérico,
1009,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,3,20,20,50,,En_20_20_50,National government buildings,Edifícios do governo nacional,false,,Genérico,
1010,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,3,20,20,70,,En_20_20_70,Regional government buildings,Edifícios do governo regional,false,,Genérico,
1011,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,2,20,45,,,En_20_45,Motor vehicle maintenance and fuelling entities,Entidades de manutenção e abastecimento de veículos motorizados,false,,Genérico,
1012,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Entidades,,3,20,45,50,,En_20_45_50,Motor vehicle fuelling and charging entities,Entidades de abastecimento e carregamento de veículos motorizados,false,,Genérico,
