idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
3000,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,1,20,,,,SL_20,"Administrative, commercial and protective service spaces","Espaços de serviços administrativos, comerciais e de proteção",false,,Genérico,
3001,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,10,,,SL_20_10,Legislative spaces,Espaços legislativos,false,,Genérico,
3002,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,10,47,,SL_20_10_47,Legislative chambers,Câmaras legislativas,false,,Genérico,
3003,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,10,49,,SL_20_10_49,Legislative chamber viewing galleries,Galerias de exibição da câmara legislativa,false,,Genérico,
3004,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,15,,,SL_20_15,Administrative spaces,Espaços administrativos,false,,Genérico,
3005,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,15,15,,SL_20_15_15,Confidential meetings rooms,Salas de reuniões confidenciais,false,,Genérico,
3006,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,15,27,,SL_20_15_27,Enclosed offices,Escritórios fechados,false,,Genérico,
3007,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,15,50,,SL_20_15_50,Meeting rooms,Sala de reuniões,false,,Genérico,
3008,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,15,59,,SL_20_15_59,Offices,Escritórios,false,,Genérico,
3009,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,15,61,,SL_20_15_61,Open-plan offices,Escritórios open-space,false,,Genérico,
3010,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,15,71,,SL_20_15_71,Reception areas,Áreas de recepção,false,,Genérico,
3011,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,15,73,,SL_20_15_73,Reprographics rooms,Salas de reprografia,false,,Genérico,
3012,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,45,,,SL_20_45,Motor vehicle maintenance and fuelling spaces,Espaços de manutenção e abastecimento de veículos motorizados,false,,Genérico,
3013,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,45,27,,SL_20_45_27,Electric motor vehicle charging points,Estação de abastecimento de veículos motorizados e elétricos,false,,Genérico,
3014,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,45,29,,SL_20_45_29,Fuel filling station air and water points,Pontos de ar e água da estação de abastecimento de combustível,false,,Genérico,
3015,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,45,30,,SL_20_45_30,Fuel filling station forecourts,Postos de abastecimento de combustível,false,,Genérico,
3016,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,45,31,,SL_20_45_31,Fuel filling station tanks areas,Áreas de tanques das estações de abastecimento de combustível,false,,Genérico,
3017,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,45,53,,SL_20_45_53,Motor vehicle maintenance areas,Áreas de manutenção de veículos motorizados,false,,Genérico,
3018,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,45,95,,SL_20_45_95,Vehicle inspection pits,Poço de inspeção de veículos,false,,Genérico,
3019,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,45,96,,SL_20_45_96,Vehicle servicing areas,Áreas de manutenção de veículos,false,,Genérico,
3020,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,50,,,SL_20_50,Commercial spaces,Espaços comerciais,false,,Genérico,
3021,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,3,,SL_20_50_03,Ambient wholesale spaces,Espaços de venda por atacado,false,,Genérico,
3022,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,5,,SL_20_50_05,Auction rooms,Salas de leiloeiras,false,,Genérico,
3023,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,10,,SL_20_50_10,Beauty salons,Salões de beleza,false,,Genérico,
3024,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,12,,SL_20_50_12,Checkout points,Pontos de checkout,false,,Genérico,
3025,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,22,,SL_20_50_22,Department store shop floors,Lojas de departamento,false,,Genérico,
3026,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,29,,SL_20_50_29,Financial and professional services outlets,Pontos de venda de serviços financeiros e profissionais,false,,Genérico,
3027,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,30,,SL_20_50_30,Fitting rooms,Provadores,false,,Genérico,
3028,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,32,,SL_20_50_32,Food and drink outlets,Pontos de venda de comida e bebida,false,,Genérico,
3029,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,36,,SL_20_50_36,Hair and beauty salons,Salões de cabeleireiro e beleza,false,,Genérico,
3030,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,37,,SL_20_50_37,Hair salons,Cabeleireiros,false,,Genérico,
3031,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,47,,SL_20_50_47,Livestock auction rooms,Salas de leilão de gado,false,,Genérico,
3032,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,51,,SL_20_50_51,Market stalls,Tendas do mercado,false,,Genérico,
3033,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,55,,SL_20_50_55,Motor vehicle showrooms,Salas de exposição de veículos motorizados,false,,Genérico,
3034,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,70,,SL_20_50_70,Refrigerated wholesale spaces,Espaços refrigerados de venda por atacado,false,,Genérico,
3035,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,72,,SL_20_50_72,Retail kiosks,Quiosques de venda,false,,Genérico,
3036,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,85,,SL_20_50_85,Supermarket shop floors,Pisos do supermercado,false,,Genérico,
3037,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,86,,SL_20_50_86,Tan spray booths,Cabines de bronzeamendo,false,,Genérico,
3038,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,87,,SL_20_50_87,Tattoo and piercing parlours,Salas de tatuagem e piercing,false,,Genérico,
3039,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,50,96,,SL_20_50_96,Waste and scrap yards,Depósitos de lixo e sucatas,false,,Genérico,
3040,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,55,,,SL_20_55,Postal communications spaces,Espaços de comunicação postal,false,,Genérico,
3041,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,55,45,,SL_20_55_45,Letter sorting offices,Escritórios de classificação de cartas,false,,Genérico,
3042,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,55,50,,SL_20_55_50,Mail order sorting and despatch facilities,Instalações de triagem de pedidos e despacho de correio,false,,Genérico,
3043,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,55,60,,SL_20_55_60,Parcel sorting offices,Escritórios de triagem de encomendas,false,,Genérico,
3044,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,55,65,,SL_20_55_65,Post rooms,Salas de correio,false,,Genérico,
3045,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,60,,,SL_20_60,Military protective spaces,Espaços de proteção militar,false,,Genérico,
3046,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,60,8,,SL_20_60_08,Bombardment shelters,Abrigos anti-bomba,false,,Genérico,
3047,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,60,27,,SL_20_60_27,Emergency shelters,Abrigos de emergência,false,,Genérico,
3048,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,60,70,,SL_20_60_70,Radiation protection shelters,Abrigos de proteção contra radiação,false,,Genérico,
3049,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,60,98,,SL_20_60_98,War emergency centres,Centros de emergência de guerra,false,,Genérico,
3050,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,62,,,SL_20_62,Parade spaces,Espaços de desfile,false,,Genérico,
3051,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,62,65,,SL_20_62_65,Parade grounds,Recinto de desfile,false,,Genérico,
3052,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,65,,,SL_20_65,Law enforcement spaces,Espaços de forças de segurança pública,false,,Genérico,
3053,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,65,15,,SL_20_65_15,Command and control spaces,Espaços de comando e controlo,false,,Genérico,
3054,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,65,28,,SL_20_65_28,Examination rooms,Salas de exame,false,,Genérico,
3055,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,65,39,,SL_20_65_39,Identification control rooms,Salas de controlo de identificação,false,,Genérico,
3056,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,65,40,,SL_20_65_40,Identification suites,Salas de identificação,false,,Genérico,
3057,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,65,41,,SL_20_65_41,Interview monitoring rooms,Salas de observação de interrogatório,false,,Genérico,
3058,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,65,42,,SL_20_65_42,Interview rooms,Salas de interrogatório,false,,Genérico,
3059,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,65,65,,SL_20_65_65,Police boxes,Cabine telefónica policial,false,,Genérico,
3060,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,70,,,SL_20_70,Judicial spaces,Espaços judiciais,false,,Genérico,
3061,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,70,15,,SL_20_70_15,Courtrooms,Tribunais,false,,Genérico,
3062,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,70,18,,SL_20_70_18,Courtroom viewing galleries,Galerias de exibição do tribunal,false,,Genérico,
3063,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,70,23,,SL_20_70_23,Defendant docks,Espaço do réu,false,,Genérico,
3064,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,70,28,,SL_20_70_28,Evidence rooms,Salas de provas,false,,Genérico,
3065,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,70,41,,SL_20_70_41,Judicial benches,Bancadas judiciais,false,,Genérico,
3066,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,70,44,,SL_20_70_44,Jury boxes,Espaço do Júri,false,,Genérico,
3067,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,70,97,,SL_20_70_97,Witness stands,Testemunha,false,,Genérico,
3068,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,2,20,75,,,SL_20_75,Detention spaces,Espaços de detenção,false,,Genérico,
3069,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,75,13,,SL_20_75_13,Charge areas,Áreas de acusação,false,,Genérico,
3070,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,75,15,,SL_20_75_15,Communal inmate dayrooms,Salas de dia comunitárias para presidiários,false,,Genérico,
3071,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,75,22,,SL_20_75_22,Detention cells,Cela de detenção,false,,Genérico,
3072,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,75,28,,SL_20_75_28,Exercise yards,Espaços para o exercício,false,,Genérico,
3073,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,75,35,,SL_20_75_35,Guard stations,Postos de guarda,false,,Genérico,
3074,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,75,38,,SL_20_75_38,Holding cells,Cela de retenção,false,,Genérico,
3075,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,75,75,,SL_20_75_75,Sally ports,Acesso controlado à prisão,false,,Genérico,
3076,SECClasS,2021-06-25T00:00:00.000+00:00,1.19,1,Espaços/ locais,,3,20,75,77,,SL_20_75_77,Secure visiting rooms,Salas de visita seguras,false,,Genérico,
