idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
20000,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,1,10,,,,TE_10,Formwork,Cofragem,false,,Genérico,
20001,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,2,10,10,,,TE_10_10,Wall and floor formwork systems,Sistemas de cofragem para paredes e pisos,false,,Genérico,
20002,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,3,10,10,20,,TE_10_10_20,Face contact material,Material de contato superfícial,false,,Genérico,
20003,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,4,10,10,20,7,TE_10_10_20_07,Beam boxes,Viga tubular,false,,Genérico,
20004,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,4,10,10,20,24,TE_10_10_20_24,Draw forms,Draw forms (?),true,Para revisão.,Genérico,
20005,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,4,10,10,20,30,TE_10_10_20_30,Formwork lining,Forro de cofragem,false,,Genérico,
20006,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,4,10,10,20,31,TE_10_10_20_31,Formwork panels,Painéis de cofragem,false,,Genérico,
20007,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,4,10,10,20,46,TE_10_10_20_46,Lap plates,Placas com junta sobreposta,true,Para revisão.,Genérico,
20008,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,4,10,10,20,85,TE_10_10_20_85,Stop end forms,Stop end forms (?),true,Para revisão.,Genérico,
20009,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,4,10,10,20,97,TE_10_10_20_97,Wrecking strips,Tiras de demolição,true,Para revisão.,Genérico,
20010,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,3,10,10,50,,TE_10_10_50,Structural members,Membros estruturais,true,Para revisão.,Genérico,
20011,SECClasS,2021-06-25T00:00:00.000+00:00,1.8,1,Ferramentas e Equipamentos,,4,10,10,50,85,TE_10_10_50_85,Strongbacks,Viga de suporte secundário (?),true,Para revisão.,Genérico,
