idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
31000,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,1,10,,,,FI_10,Communication,Comunicação,false,,Genérico,
31001,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,3,,,FI_10_03,Agenda (AG),Agenda (AG),false,,Genérico,
31002,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,10,,,FI_10_10,Brochure (BL),Folheto (BL),false,,Genérico,
31003,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,15,,,FI_10_15,Comment (CT),Comentário (CT),false,,Genérico,
31004,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,17,,,FI_10_17,Conversation record (CD),Gravação de conversa (CD),false,,Genérico,
31005,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,20,,,FI_10_20,Correspondence (CO),Correspondência (CO),false,,Genérico,
31006,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,27,,,FI_10_27,Email (EM),Email (EM),false,,Genérico,
31007,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,30,,,FI_10_30,File note (FN),Nota de arquivo (FN),false,,Genérico,
31008,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,45,,,FI_10_45,Leaflet (LF),Folheto (LF),false,,Genérico,
31009,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,46,,,FI_10_46,Letter (LT),Carta (LT),false,,Genérico,
31010,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,50,,,FI_10_50,Memo (ME),MEMO (?),false,,Genérico,
31011,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,55,,,FI_10_55,Minutes (MI),Minutos (MI),false,,Genérico,
31012,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,59,,,FI_10_59,Poster (PO),Cartaz (PO),false,,Genérico,
31013,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,60,,,FI_10_60,Presentation (PP),Apresentação (PP),false,,Genérico,
31014,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,65,,,FI_10_65,Press release (PE),Comunicado de imprensa (PE),false,,Genérico,
31015,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,70,,,FI_10_70,Request (RI),Pedido (RI),false,,Genérico,
31016,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,86,,,FI_10_86,Technical query (TQ),Consulta técnica (TQ),false,,Genérico,
31017,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,88,,,FI_10_88,Transfer note (TN),Nota de transferência (TN),false,,Genérico,
31018,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,10,90,,,FI_10_90,Transmittal (TL),Transmissão (TL),false,,Genérico,
31019,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,1,20,,,,FI_20,Contractual,Contratual,false,,Genérico,
31020,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,20,5,,,FI_20_05,Application (AP),Aplicativo (AP),false,,Genérico,
31021,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,20,15,,,FI_20_15,Contract (CC),Contrato (CC),false,,Genérico,
31022,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,20,25,,,FI_20_25,Early warning notice (EW),Aviso prévio (EW),false,,Genérico,
31023,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,20,40,,,FI_20_40,Instruction (IN),Instrução (IN),false,,Genérico,
31024,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,20,65,,,FI_20_65,Proposal (PS),Proposta (PS),false,,Genérico,
31025,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,20,70,,,FI_20_70,Requisition (RQ),Requisição (RQ),false,,Genérico,
31026,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,20,85,,,FI_20_85,Subcontract order (SO),Pedido de subcontratação (SO),false,,Genérico,
31027,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,20,95,,,FI_20_95,Variation (VA),Variação (VA),false,,Genérico,
31028,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,1,30,,,,FI_30,Data,Dados,false,,Genérico,
31029,SECClasS,2021-06-25T00:00:00.000+00:00,1.4,1,Formas de informação,,2,30,20,,,FI_30_20,Database (DB),Banco de dados (DB),false,,Genérico,
