idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
30000,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,1,10,,,,PM_10,Project information,Informações do Projeto,false,,Gestão de projeto,
30001,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,2,10,10,,,PM_10_10,Project,Projeto,false,,Gestão de projeto,
30002,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,3,10,10,60,,PM_10_10_60,Project description,Memória descritiva,false,,Gestão de projeto,
30003,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,2,10,20,,,PM_10_20,Client requirements,Requisitos do cliente,false,,Gestão de projeto,
30004,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,3,10,20,3,,PM_10_20_03,Appointment document,Termo de responsablidade,false,,Gestão de projeto,
30005,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,3,10,20,7,,PM_10_20_07,Brief,Apresentação,false,,Gestão de projeto,
30006,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,3,10,20,9,,PM_10_20_09,Buildability statement,Declaração de capacidade de construção,false,,Gestão de projeto,
30007,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,3,10,20,14,,PM_10_20_14,Community and tenant liaison plan,Plano de ligação com a comunidade e inquilino,false,,Gestão de projeto,
30008,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,3,10,20,16,,PM_10_20_16,Construction industry registration scheme requirements,Requisitos do esquema de registro da indústria de construção,false,,Gestão de projeto,
30009,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,3,10,20,17,,PM_10_20_17,Core requirements statement,Declaração de requisitos essenciais,false,,Gestão de projeto,
30010,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,3,10,20,18,,PM_10_20_18,Cost benefit analysis,Análise de custo-benefício,false,,Gestão de projeto,
30011,SECClasS,2021-06-25T00:00:00.000+00:00,1.11,1,Gestão de projeto,,3,10,20,26,,PM_10_20_26,Environmental policy,Política ambiental,false,,Gestão de projeto,
