idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
10000,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,1,15,,,,Pr_15,Preparatory products,Produtos preparatórios,false,,Genérico,
10001,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,2,15,31,,,Pr_15_31,Formless preparatory products,Produtos preparatórios sem forma,false,,Genérico,
10002,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,3,15,31,4,,Pr_15_31_04,Applied cleaning and treatment products,Produtos de limpeza e tratamento aplicados,false,,Genérico,
10003,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,2,Pr_15_31_04_02,Acid neutralization products,Produtos de neutralização de ácido,false,,Genérico,
10004,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,6,Pr_15_31_04_06,Biocidal cleaning solutions,Soluções de limpeza biocidas,false,,Genérico,
10005,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,10,Pr_15_31_04_10,Chemical absorbent products,Produtos de aborção química,false,,Genérico,
10006,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,11,Pr_15_31_04_11,Chemical cleaning gels and liquids,Géis e líquidos de limpeza química,false,,Genérico,
10007,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,12,Pr_15_31_04_12,Chemical poultices,Cataplasmas químicas,false,,Genérico,
10008,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,13,Pr_15_31_04_13,Cleaners,Limpadores,false,,Genérico,
10009,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,14,Pr_15_31_04_14,Cleaning agents,Agentes de limpeza,false,,Genérico,
10010,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,15,Pr_15_31_04_15,Concrete surface retarders,Retardandes de superfície de betão,false,,Genérico,
10011,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,16,Pr_15_31_04_16,Concrete treatment surface and injection chemicals,Produtos químicos de tratamento de betão e de injeção,false,,Genérico,
10012,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,20,Pr_15_31_04_20,Curing compounds,Compostos de cura,false,,Genérico,
10013,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,23,Pr_15_31_04_23,De-icing chemicals,Produtos químicos para descongelamento,false,,Genérico,
10014,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,34,Pr_15_31_04_34,Graffiti-removing chemicals,Produtos químicos para remover graffiti,false,,Genérico,
10015,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,35,Pr_15_31_04_35,Grit,Gravilha,false,,Genérico,
10016,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,53,Pr_15_31_04_53,Mould removers,Removedores de molde,false,,Genérico,
10017,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,58,Pr_15_31_04_58,Oil-absorbent products,Produtos absorventes de óleo,false,,Genérico,
10018,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,60,Pr_15_31_04_60,Paint strippers,Decapantes de tinta,false,,Genérico,
10019,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,64,Pr_15_31_04_64,Plain poultices,Cataplasmas simples,false,,Genérico,
10020,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,72,Pr_15_31_04_72,Rock salt,Sal-gema,false,,Genérico,
10021,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,77,Pr_15_31_04_77,Shampoos,Shampoos,false,,Genérico,
10022,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,80,Pr_15_31_04_80,Snow clearing chemicals,Produtos químos para limpar a neve,false,,Genérico,
10023,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,81,Pr_15_31_04_81,Solvents,Solventes,false,,Genérico,
10024,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,84,Pr_15_31_04_84,Spot-removing chemicals,Químicos para remoção de manchas,false,,Genérico,
10025,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,85,Pr_15_31_04_85,Sugar soap,Sabonete,false,,Genérico,
10026,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,4,86,Pr_15_31_04_86,Surface cleaners,Limpadores de superfícies,false,,Genérico,
10027,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,3,15,31,12,,Pr_15_31_12,Chemical soils stabilizers,Establizadores químicos de solo,false,,Genérico,
10028,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,12,42,Pr_15_31_12_42,Injectable resinous soil stabilizers,Estabilizadores injectável de resina para solo,false,,Genérico,
10029,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,3,15,31,26,,Pr_15_31_26,Excavated earth and fill materials,Terra escavada e materiais de enchimento,false,,Genérico,
10030,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,26,2,Pr_15_31_26_02,Asphalt arisings granular unbound mixtures,Misturas de asfalto de gãos soltos,false,,Genérico,
10031,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,26,7,Pr_15_31_26_07,Bentonite,Bentonite,false,,Genérico,
10032,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,26,13,Pr_15_31_26_13,Chalk,Giz,false,,Genérico,
10033,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,26,14,Pr_15_31_26_14,Clay,Argila,false,,Genérico,
10034,,2021-06-25T00:00:00.000+00:00,1.21,1,Produtos,,4,15,31,26,15,Pr_15_31_26_15,Coarse no fines rubble fill materials,Material de enchimento de entulho grosso sem finos,false,,Genérico,
