idItem,Autor,Data_traducao,Versao_Uniclass,versao_secclas,code_tabela,tabela_id,nivel_item,Group,Subgroup,Section,Object,code_item,title_item,titulo_SECClasS,review,descricao_SECClasS,especialidade,keywords
6000,Grupo Casais/TopBIM,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,1,15,,,,Ss_15,"Earthworks, remediation and temporary systems","Terraplanagem, correção e sistemas temporários",true,Para revisão.,Estruturas,
6001,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,2,15,10,,,Ss_15_10,Groundworks and earthworks systems,Sistemas de terraplanagem e preparação de terreno,true,Para revisão.,Estruturas,
6002,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,10,30,,Ss_15_10_30,"Excavating, filling and erosion control systems","Sistemas de escavação, enchimento e controlo de erosão",true,Para revisão.,Estruturas,
6003,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,30,5,Ss_15_10_30_05,Backfill systems,Sistemas de aterro,true,Para revisão.,Estruturas,
6004,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,30,25,Ss_15_10_30_25,Earthworks excavating systems,Sistemas de escavação de terraplenagem,true,Para revisão.,Estruturas,
6005,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,30,27,Ss_15_10_30_27,Earthworks filling systems,Sistemas de enchimento de terraplenagem,true,Para revisão.,Estruturas,
6006,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,30,29,Ss_15_10_30_29,Earthworks filling systems around trees,Sistemas de terraplenagem e enchimento ao redor de árvores,true,Para revisão.,Estruturas,
6007,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,30,31,Ss_15_10_30_31,Earthworks filling systems behind retaining walls,Sistemas de terraplenagem e enchimento perto de paredes de contenção,true,Para revisão.,Estruturas,
6008,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,30,33,Ss_15_10_30_33,Erosion control systems,Sistemas de controlo de erosão,true,Para revisão.,Estruturas,
6009,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,30,65,Ss_15_10_30_65,Puddled clay lining systems,Sistemas de revestimento de argila aglomerada,true,Para revisão.,Estruturas,
6010,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,30,90,Ss_15_10_30_90,Topsoil filling systems,Sistemas de enchimento do solo superficial,true,Para revisão.,Estruturas,
6011,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,10,33,,Ss_15_10_33,Ground gas disposal systems,Sistemas de eliminação de gás subterrâneos,true,Para revisão.,Estruturas,
6012,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,33,34,Ss_15_10_33_34,Ground gas collection and venting systems,Sistemas de recolha e ventilação de gás subterrâneo,true,Para revisão.,Estruturas,
6013,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,10,35,,Ss_15_10_35,Ground remediation systems,Sistemas de correção de solo,true,Para revisão.,Estruturas,
6014,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,35,7,Ss_15_10_35_07,Bioremediation systems,Sistemas de biorremediação,true,Para revisão.,Estruturas,
6015,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,35,23,Ss_15_10_35_23,Deep dry soil mixing systems,Sistemas de mistura de solo seco,true,Para revisão.,Estruturas,
6016,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,35,25,Ss_15_10_35_25,Dynamic deep compaction systems,Sistemas dinâmicos de compactação profunda,true,Para revisão.,Estruturas,
6017,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,35,92,Ss_15_10_35_92,Vibro-compaction systems,Sistemas de compactação por vibração,true,Para revisão.,Estruturas,
6018,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,35,94,Ss_15_10_35_94,Vibro-stone column systems,Sistemas de colunas vibratórias de pedra,true,Para revisão.,Estruturas,
6019,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,35,97,Ss_15_10_35_97,Wet soil mixing systems,Sistemas de mistura de solo húmido,true,Para revisão.,Estruturas,
6020,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,10,45,,Ss_15_10_45,Landfill systems,Sistemas de aterro,true,Para revisão.,Estruturas,
6021,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,10,76,,Ss_15_10_76,Site waste disposal systems,Sistemas de eliminação de resíduos do local,true,Para revisão.,Estruturas,
6022,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,76,21,Ss_15_10_76_21,Dewatering systems,Sistemas de desidratação (?),true,Para revisão.,Estruturas,
6023,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,10,78,,Ss_15_10_78,Slurry wall systems,Sistemas de parede de lama bentonítica,true,Para revisão.,Estruturas,
6024,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,10,80,,Ss_15_10_80,Stabilization systems,Sistemas de estabilização,true,Para revisão.,Estruturas,
6025,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,80,15,Ss_15_10_80_15,Concrete column stabilization systems,Sistemas de estabilização de coluna de betão,true,Para revisão.,Estruturas,
6026,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,80,70,Ss_15_10_80_70,Rock bolting and dowelling systems,Sistemas de parafusamento e cavilhas de escoramento de rocha (?),true,Para revisão.,Estruturas,
6027,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,80,80,Ss_15_10_80_80,Soil nailing systems,Sistemas de estabilização do solo,true,Para revisão.,Estruturas,
6028,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,10,80,85,Ss_15_10_80_85,Subterranean void filling systems,Sistemas subterrâneos de enchimento de vazios,true,Para revisão.,Estruturas,
6029,Grupo Casais/TopBIM,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,2,15,30,,,Ss_15_30,"Remediation, repair and renovation systems","Sistemas de correção, reparação e renovação",true,Para revisão.,Facility Management,
6030,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,30,10,,Ss_15_30_10,Building services remediation systems,Sistemas de correção de serviços de construção,true,Para revisão.,Facility Management,
6031,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,30,12,,Ss_15_30_12,Ceramics repair and renovation systems,Sistemas de reparação e renovação de cerâmica,true,Para revisão.,Facility Management,
6032,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,30,15,,Ss_15_30_15,Concrete and masonry cleaning systems,Sistemas de limpeza de betão e alvenaria,true,Para revisão.,Facility Management,
6033,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,15,15,Ss_15_30_15_15,Concrete cleaning systems,Sistemas de limpeza de betão,true,Para revisão.,Facility Management,
6034,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,15,50,Ss_15_30_15_50,Masonry cleaning systems,Sistemas de limpeza de alvenaria,true,Para revisão.,Facility Management,
6035,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,15,65,Ss_15_30_15_65,Preliminary concrete cleaning systems,Sistemas preliminares de limpeza de betão,true,Para revisão.,Facility Management,
6036,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,15,66,Ss_15_30_15_66,Preliminary masonry cleaning systems,Sistemas preliminares de limpeza de alvenaria,true,Para revisão.,Facility Management,
6037,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,30,17,,Ss_15_30_17,Concrete repair and renovation systems,Sistemas de reparação e renovação de betão,true,Para revisão.,Facility Management,
6038,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,17,10,Ss_15_30_17_10,Bonded steel plate repair systems,Sistemas de reparação de chapa de aço colada,true,Para revisão.,Facility Management,
6039,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,17,12,Ss_15_30_17_12,Concrete crack repair or filling systems,Sistemas de enchimento e reparação de fendas de betão,true,Para revisão.,Facility Management,
6040,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,17,14,Ss_15_30_17_14,Concrete mortar or overlay systems,Sistemas de revestimento e argamassa de betão,true,Para revisão.,Facility Management,
6041,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,17,16,Ss_15_30_17_16,Concrete protective coating systems,Sistemas de revestimento de proteção de betão,true,Para revisão.,Facility Management,
6042,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,17,18,Ss_15_30_17_18,Concrete repair systems,Sistemas de repação de betão,true,Para revisão.,Facility Management,
6043,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,17,85,Ss_15_30_17_85,Sprayed concrete repair systems,Sistemas de repação de betão pulverizado,true,Para revisão.,Facility Management,
6044,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,30,32,,Ss_15_30_32,Fungus and beetle eradication systems,Sistemas de eliminação de fungos e baratas,true,Para revisão.,Facility Management,
6045,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,32,5,Ss_15_30_32_05,Beetle eradication systems,Sistemas de eliminação de baratas,true,Para revisão.,Facility Management,
6046,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,32,15,Ss_15_30_32_15,Combined fungus and beetle treatment systems,Sistemas combinados de tratamento de fungos e baratas,true,Para revisão.,Facility Management,
6047,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,32,35,Ss_15_30_32_35,Hot air infestation treatment systems,Sistemas de tratamento com ar quente de infestação,true,Para revisão.,Facility Management,
6048,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,32,50,Ss_15_30_32_50,Masonry fungus treatment systems,Sistemas de tratamento de fungos na alvenaria,true,Para revisão.,Facility Management,
6049,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,32,85,Ss_15_30_32_85,Termite treatment systems,Sistemas de tratamento de insetos,true,Para revisão.,Facility Management,
6050,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,32,90,Ss_15_30_32_90,Timber fungus treatment systems,Sistemas de tratamento de fungos de madeira,true,Para revisão.,Facility Management,
6051,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,30,33,,Ss_15_30_33,Glass repair and renovation systems,Sistemas de reparação e renovação de vidro,true,Para revisão.,Facility Management,
6052,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,30,50,,Ss_15_30_50,Masonry repair and renovation systems,Sistemas de reparação e renovação de alvenaria,true,Para revisão.,Facility Management,
6053,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,50,50,Ss_15_30_50_50,Masonry repair systems,Sistemas de reparação reparo de alvenaria,true,Para revisão.,Facility Management,
6054,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,50,53,Ss_15_30_50_53,Mortar joint repair systems,Sistemas de reparação de juntas de argamassa,true,Para revisão.,Facility Management,
6055,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,50,55,Ss_15_30_50_55,Mortar repointing systems,Sistemas de refechamento de juntas de argamassa (?),true,Para revisão.,Facility Management,
6056,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,30,52,,Ss_15_30_52,Metal repair and renovation systems,Sistemas de reparação e renovação de metal,true,Para revisão.,Facility Management,
6057,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,52,3,Ss_15_30_52_03,Aluminium repair systems,Sistemas de reparação de alumínio,true,Para revisão.,Facility Management,
6058,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,52,15,Ss_15_30_52_15,Copper repair systems,Sistemas de reparação de cobre,true,Para revisão.,Facility Management,
6059,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,52,42,Ss_15_30_52_42,Iron repair systems,Sistemas de reparação de ferro,true,Para revisão.,Facility Management,
6060,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,52,46,Ss_15_30_52_46,Lead repair systems,Sistemas de reparação de chumbo,true,Para revisão.,Facility Management,
6061,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,4,15,30,52,84,Ss_15_30_52_84,Steel repair systems,Sistemas de reparação de aço,true,Para revisão.,Facility Management,
6062,SECClasS,2021-06-25T00:00:00.000+00:00,1.21,1,Sistemas,,3,15,30,65,,Ss_15_30_65,Pipeline renovation systems,Sistemas de renovação de dutos,true,Para revisão.,Facility Management,
