Autor,Data_traducao,Group,Object,Section,Subgroup,Versao_Uniclass,_id,code_item,code_tabela,descricao_SECClasS,especialidade,idItem,keywords,nivel_item,review,tabela_id,title_item,titulo_SECClasS,versao_secclas
SECClasS,2021-06-25T00:00:00.000Z,20,,,,1.12,6151e818cf055d44dd0787a1,Co_20,Complexos,,Genérico,1,,1,false,,"Administrative, commercial and protective service complexes","Complexos de serviços administrativos, comerciais e de segurança",1
SECClasS,2021-06-24T23:59:00.000Z,20,,,10,1.12,6151e818cf055d44dd0787a2,Co_20_10,Complexos,,Genérico,2,,2,false,,Legislative complexes,Complexos legislativos,1
SECClasS,2021-06-24T23:58:00.000Z,20,,60,10,1.12,6151e818cf055d44dd0787a3,Co_20_10_60,Complexos,,Genérico,3,,3,false,,Governmental complexes,Complexos governamentais,1
SECClasS,2021-06-24T23:57:00.000Z,20,,,15,1.12,6151e818cf055d44dd0787a4,Co_20_15,Complexos,,Genérico,4,,2,false,,Administrative complexes,Complexos administrativos,1
SECClasS,2021-06-24T23:56:00.000Z,20,,8,15,1.12,6151e818cf055d44dd0787a5,Co_20_15_08,Complexos,,Genérico,5,,3,false,,Business parks,Parques empresariais,1
SECClasS,2021-06-24T23:55:00.000Z,20,,58,15,1.12,6151e818cf055d44dd0787a6,Co_20_15_58,Complexos,,Genérico,6,,3,false,,Office complexes,Complexos de escritórios,1
SECClasS,2021-06-24T23:54:00.000Z,20,,,20,1.12,6151e818cf055d44dd0787a7,Co_20_20,Complexos,,Genérico,7,,2,false,,Secular representative complexes,Complexos de administração pública,1
SECClasS,2021-06-24T23:53:00.000Z,20,,15,20,1.12,6151e818cf055d44dd0787a8,Co_20_20_15,Complexos,,Genérico,8,,3,false,,Complexes for representatives of nation states abroad,Complexos de representação de estados no estrangeiro ,1
SECClasS,2021-06-24T23:52:00.000Z,20,,40,20,1.12,6151e818cf055d44dd0787a9,Co_20_20_40,Complexos,,Genérico,9,,3,false,,Local government complexes,Complexos governamentais locais,1
SECClasS,2021-06-24T23:51:00.000Z,20,,50,20,1.12,6151e818cf055d44dd0787aa,Co_20_20_50,Complexos,,Genérico,10,,3,false,,National government complexes,Complexos governamentais nacionais,1
SECClasS,2021-06-24T23:50:00.000Z,20,,70,20,1.12,6151e818cf055d44dd0787ab,Co_20_20_70,Complexos,,Genérico,11,,3,false,,Regional government complexes,Complexos governamentais regionais,1
SECClasS,2021-06-24T23:49:00.000Z,20,,,45,1.12,6151e818cf055d44dd0787ac,Co_20_45,Complexos,,Genérico,12,,2,false,,Motor vehicle maintenance and fuelling complexes,Complexos de manutenção e abastecimento de veículos motorizados,1
SECClasS,2021-06-24T23:48:00.000Z,20,,50,45,1.12,6151e818cf055d44dd0787ad,Co_20_45_50,Complexos,,Genérico,13,,3,false,,Motor vehicle fuelling and charging stations,Complexos de abastecimento e carregamento de veículos motorizados ,1
SECClasS,2021-06-24T23:47:00.000Z,20,,54,45,1.12,6151e818cf055d44dd0787ae,Co_20_45_54,Complexos,,Genérico,14,,3,false,,Motor vehicle servicing complexes,Complexos de reparação de veículos motorizados,1
SECClasS,2021-06-24T23:46:00.000Z,20,,,50,1.12,6151e818cf055d44dd0787af,Co_20_50,Complexos,,Genérico,15,,2,false,,Commercial complexes,Complexos comerciais,1
SECClasS,2021-06-24T23:45:00.000Z,20,,5,50,1.12,6151e818cf055d44dd0787b0,Co_20_50_05,Complexos,,Genérico,16,,3,false,,Auction complexes,Complexos de leiloeiras,1
SECClasS,2021-06-24T23:44:00.000Z,20,,50,50,1.12,6151e818cf055d44dd0787b1,Co_20_50_50,Complexos,,Genérico,17,,3,false,,Market complexes,Complexos de mercados,1
SECClasS,2021-06-24T23:43:00.000Z,20,,53,50,1.12,6151e818cf055d44dd0787b2,Co_20_50_53,Complexos,,Genérico,18,,3,false,,Mixed use complexes,Complexos de utilização mista,1
SECClasS,2021-06-24T23:42:00.000Z,20,,60,50,1.12,6151e818cf055d44dd0787b3,Co_20_50_60,Complexos,,Genérico,19,,3,false,,Parade of shops,Conjuntos de lojas de comércio local,1
SECClasS,2021-06-24T23:41:00.000Z,20,,71,50,1.12,6151e818cf055d44dd0787b4,Co_20_50_71,Complexos,,Genérico,20,,3,false,,Retail parks,Parques de retalho,1
SECClasS,2021-06-24T23:40:00.000Z,20,,78,50,1.12,6151e818cf055d44dd0787b5,Co_20_50_78,Complexos,,Genérico,21,,3,false,,Shopping complexes,Centros comerciais,1
SECClasS,2021-06-24T23:39:00.000Z,20,,94,50,1.12,6151e818cf055d44dd0787b6,Co_20_50_94,Complexos,,Genérico,22,,3,false,,Vehicle sales complexes,Complexos de venda de veículos,1
SECClasS,2021-06-24T23:38:00.000Z,20,,,55,1.12,6151e818cf055d44dd0787b7,Co_20_55,Complexos,,Genérico,23,,2,false,,Postal complexes,Complexos postais,1
SECClasS,2021-06-24T23:37:00.000Z,20,,10,55,1.12,6151e818cf055d44dd0787b8,Co_20_55_10,Complexos,,Genérico,24,,3,false,,Postal communications complexes,Complexos de comunicações postais,1
SECClasS,2021-06-24T23:36:00.000Z,20,,,60,1.12,6151e818cf055d44dd0787b9,Co_20_60,Complexos,,Genérico,25,,2,false,,Military complexes,Complexos militares,1
SECClasS,2021-06-24T23:35:00.000Z,20,,2,60,1.12,6151e818cf055d44dd0787ba,Co_20_60_02,Complexos,,Genérico,26,,3,false,,Air force complexes,Complexos da Força Aérea,1
SECClasS,2021-06-24T23:34:00.000Z,20,,10,60,1.12,6151e818cf055d44dd0787bb,Co_20_60_10,Complexos,,Genérico,27,,3,false,,Army complexes,Complexos do exército,1
SECClasS,2021-06-24T23:33:00.000Z,20,,56,60,1.12,6151e818cf055d44dd0787bc,Co_20_60_56,Complexos,,Genérico,28,,3,false,,Navy complexes,Complexos da marinha,1
SECClasS,2021-06-24T23:32:00.000Z,20,,,65,1.12,6151e818cf055d44dd0787bd,Co_20_65,Complexos,,Genérico,29,,2,false,,Law enforcement complexes,Complexos de forças de segurança pública,1
SECClasS,2021-06-24T23:31:00.000Z,20,,56,65,1.12,6151e818cf055d44dd0787be,Co_20_65_56,Complexos,,Genérico,30,,3,false,,Law enforcement agency complexes,Complexos de agências de segurança pública,1
SECClasS,2021-06-24T23:30:00.000Z,20,,,70,1.12,6151e818cf055d44dd0787bf,Co_20_70,Complexos,,Genérico,31,,2,false,,Judicial complexes,Complexos judiciais,1
SECClasS,2021-06-24T23:29:00.000Z,20,,18,70,1.12,6151e818cf055d44dd0787c0,Co_20_70_18,Complexos,,Genérico,32,,3,false,,Court complexes,Complexos de tribunais,1
SECClasS,2021-06-24T23:28:00.000Z,20,,65,70,1.12,6151e818cf055d44dd0787c1,Co_20_70_65,Complexos,,Genérico,33,,3,false,,Probation complexes,Complexos de liberdade condicional,1
SECClasS,2021-06-24T23:27:00.000Z,20,,,75,1.12,6151e818cf055d44dd0787c2,Co_20_75,Complexos,,Genérico,34,,2,false,,Detention complexes,Complexos de detenção,1
SECClasS,2021-06-24T23:26:00.000Z,20,,42,75,1.12,6151e818cf055d44dd0787c3,Co_20_75_42,Complexos,,Genérico,35,,3,false,,Immigrant detention complexes,Complexos de detenção de imigrantes,1
SECClasS,2021-06-24T23:25:00.000Z,20,,64,75,1.12,6151e818cf055d44dd0787c4,Co_20_75_64,Complexos,,Genérico,36,,3,false,,Prison complexes,Complexos prisionais,1
SECClasS,2021-06-24T23:24:00.000Z,20,,71,75,1.12,6151e818cf055d44dd0787c5,Co_20_75_71,Complexos,,Genérico,37,,3,false,,Refugee detention complexes,Complexos de detenção de refugiados,1
SECClasS,2021-06-24T23:23:00.000Z,20,,,80,1.12,6151e818cf055d44dd0787c6,Co_20_80,Complexos,,Genérico,38,,2,false,,Weapons training complexes,Complexos de treino com armas,1
SECClasS,2021-06-24T23:22:00.000Z,20,,4,80,1.12,6151e818cf055d44dd0787c7,Co_20_80_04,Complexos,,Genérico,39,,3,false,,Artillery firing range complexes,Carreiras de tiro de artilharia,1
SECClasS,2021-06-24T23:21:00.000Z,20,,80,80,1.12,6151e818cf055d44dd0787c8,Co_20_80_80,Complexos,,Genérico,40,,3,false,,Small arms firing range complexes,Carreiras de tiro de armas de pequeno porte,1
SECClasS,2021-06-24T23:20:00.000Z,20,,,90,1.12,6151e818cf055d44dd0787c9,Co_20_90,Complexos,,Genérico,41,,2,false,,Incident support complexes,Complexos de suporte à emergência,1
