Autor,Comentarios,Data_traducao,Group,Section,Subgroup,Versao_Uniclass,_id,code_item,code_tabela,descricao_SECClasS,idItem,nivel_item,object_item,title_item,titulo_SECClasS
,,,20,,,1.12,60d41ae8ddc3ec53204c81da,Co_20,Complexos,,1,1,,"Administrative, commercial and protective service complexes","Complexos de serviços administrativos, comerciais e de segurança"
,,,20,,10,1.12,60d41ae8ddc3ec53204c81db,Co_20_10,Complexos,,2,2,,Legislative complexes,Complexos legislativos
,,,20,60,10,1.12,60d41ae8ddc3ec53204c81dc,Co_20_10_60,Complexos,,3,3,,Governmental complexes,Complexos governamentais
,,,20,,15,1.12,60d41ae8ddc3ec53204c81dd,Co_20_15,Complexos,,4,2,,Administrative complexes,Complexos administrativos
,,,20,8,15,1.12,60d41ae8ddc3ec53204c81de,Co_20_15_08,Complexos,,5,3,,Business parks,Parques empresariais
,,,20,58,15,1.12,60d41ae8ddc3ec53204c81df,Co_20_15_58,Complexos,,6,3,,Office complexes,Complexos de escritórios
,,,20,,20,1.12,60d41ae8ddc3ec53204c81e0,Co_20_20,Complexos,,7,2,,Secular representative complexes,Complexos de administração pública
,,,20,15,20,1.12,60d41ae8ddc3ec53204c81e1,Co_20_20_15,Complexos,,8,3,,Complexes for representatives of nation states abroad,Complexos de representação de estados no estrangeiro
,,,20,40,20,1.12,60d41ae8ddc3ec53204c81e2,Co_20_20_40,Complexos,,9,3,,Local government complexes,Complexos governamentais locais
,,,20,50,20,1.12,60d41ae8ddc3ec53204c81e3,Co_20_20_50,Complexos,,10,3,,National government complexes,Complexos governamentais nacionais
,,,20,70,20,1.12,60d41ae8ddc3ec53204c81e4,Co_20_20_70,Complexos,,11,3,,Regional government complexes,Complexos governamentais regionais
,,,20,,45,1.12,60d41ae8ddc3ec53204c81e5,Co_20_45,Complexos,,12,2,,Motor vehicle maintenance and fuelling complexes,Complexos de manutenção e abastecimento de veículos motorizados
,,,20,50,45,1.12,60d41ae8ddc3ec53204c81e6,Co_20_45_50,Complexos,,13,3,,Motor vehicle fuelling and charging stations,Complexos de abastecimento e carregamento de veículos motorizados
,,,20,54,45,1.12,60d41ae8ddc3ec53204c81e7,Co_20_45_54,Complexos,,14,3,,Motor vehicle servicing complexes,Complexos de reparação de veículos motorizados
,,,20,,50,1.12,60d41ae8ddc3ec53204c81e8,Co_20_50,Complexos,,15,2,,Commercial complexes,Complexos comerciais
,,,20,5,50,1.12,60d41ae8ddc3ec53204c81e9,Co_20_50_05,Complexos,,16,3,,Auction complexes,Complexos de leiloeiras
,,,20,50,50,1.12,60d41ae8ddc3ec53204c81ea,Co_20_50_50,Complexos,,17,3,,Market complexes,Complexos de mercados
,,,20,53,50,1.12,60d41ae8ddc3ec53204c81eb,Co_20_50_53,Complexos,,18,3,,Mixed use complexes,Complexos de utilização mista
,,,20,60,50,1.12,60d41ae8ddc3ec53204c81ec,Co_20_50_60,Complexos,,19,3,,Parade of shops,Conjuntos de lojas de comércio local
,,,20,71,50,1.12,60d41ae8ddc3ec53204c81ed,Co_20_50_71,Complexos,,20,3,,Retail parks,Parques de retalho
,,,20,78,50,1.12,60d41ae8ddc3ec53204c81ee,Co_20_50_78,Complexos,,21,3,,Shopping complexes,Centros comerciais
,,,20,94,50,1.12,60d41ae8ddc3ec53204c81ef,Co_20_50_94,Complexos,,22,3,,Vehicle sales complexes,Complexos de venda de veículos
,,,20,,55,1.12,60d41ae8ddc3ec53204c81f0,Co_20_55,Complexos,,23,2,,Postal complexes,Complexos postais
,,,20,10,55,1.12,60d41ae8ddc3ec53204c81f1,Co_20_55_10,Complexos,,24,3,,Postal communications complexes,Complexos de comunicações postais
,,,20,,60,1.12,60d41ae8ddc3ec53204c81f2,Co_20_60,Complexos,,25,2,,Military complexes,Complexos militares
,,,20,2,60,1.12,60d41ae8ddc3ec53204c81f3,Co_20_60_02,Complexos,,26,3,,Air force complexes,Complexos da Força Aérea
,,,20,10,60,1.12,60d41ae8ddc3ec53204c81f4,Co_20_60_10,Complexos,,27,3,,Army complexes,Complexos do Exército
,,,20,56,60,1.12,60d41ae8ddc3ec53204c81f5,Co_20_60_56,Complexos,,28,3,,Navy complexes,Complexos da Marinha
,,,20,,65,1.12,60d41ae8ddc3ec53204c81f6,Co_20_65,Complexos,,29,2,,Law enforcement complexes,Complexos de forças de segurança pública
,,,20,56,65,1.12,60d41ae8ddc3ec53204c81f7,Co_20_65_56,Complexos,,30,3,,Law enforcement agency complexes,Complexos de agências de segurança pública
,,,20,,70,1.12,60d41ae8ddc3ec53204c81f8,Co_20_70,Complexos,,31,2,,Judicial complexes,Complexos judiciais
,,,20,18,70,1.12,60d41ae8ddc3ec53204c81f9,Co_20_70_18,Complexos,,32,3,,Court complexes,Complexos de tribunais
,,,20,65,70,1.12,60d41ae8ddc3ec53204c81fa,Co_20_70_65,Complexos,,33,3,,Probation complexes,Complexos de liberdade condicional
,,,20,,75,1.12,60d41ae8ddc3ec53204c81fb,Co_20_75,Complexos,,34,2,,Detention complexes,Complexos de detenção
,,,20,42,75,1.12,60d41ae8ddc3ec53204c81fc,Co_20_75_42,Complexos,,35,3,,Immigrant detention complexes,Complexos de detenção de imigrantes
