code,description,level,revit,
EF_20_05,Substructure,3,-2001300,
EF_20_05_30,Foundations,4,-2001320,
EF_25_10,Walls,3,-2000011,
EF_25_30,Doors and windows,3,-2000023,
EF_30_10,Roofs,3,-2000035,
EF_30_20,Floors,3,-2000032,
EF_35_10,Stairs,3,-2000120,
EF_35_10_30,External stairs,4,-2000120,
EF_35_10_40,Internal stairs,4,-2000120,
EF_35_20,Ramps,3,-2000180,
EF_40_10,Signage,3,-2001350,
EF_40_20,Fittings,3,-2000080,
EF_40_30,Furnishings,3,-2000080,
EF_40_40,Equipment,3,-2001350,
EF_45,Flora and fauna elements,2,-2001360,
EF_45_03,Aquatic fauna elements,3,-2001360,
EF_45_05,Aquatic flora elements,3,-2001360,
EF_45_20,Grass and meadow elements,3,-2001360,
EF_45_45,Land fauna elements,3,-2001360,
EF_45_90,"Tree, shrub and herbaceous plant elements",3,-2001360,
EF_55,Piped supply functions,2,-2008044,
EF_55_05,Gas extraction and treatment,3,-2008044,
EF_55_10,Liquid fuel extraction and treatment,3,-2008044,
EF_55_15,Water extraction and treatment,3,-2008044,
EF_55_20,Gas supply,3,-2008044,
EF_55_30,Fire extinguishing supply,3,-2008044,
EF_55_40,Steam supply,3,-2008044,
EF_55_50,Liquid fuel supply,3,-2008044,
EF_55_60,Process liquid supply,3,-2008044,
EF_55_70,Water supply,3,-2008044,
EF_55_90,Piped solids supply,3,-2008044,
EF_60_40,Space heating and cooling,3,-2001140,
EF_60_60,Refrigeration,3,-2001140,
EF_60_80,Drying,3,-2001140,
EF_65,Ventilation and air conditioning functions,2,-2001140,
EF_65_40,Ventilation,3,-2001140,
EF_65_80,Air conditioning,3,-2001140,
EF_70,Electrical power and lighting functions,2,-2001040,
EF_70_10,Electrical power generation,3,-2001040,
EF_70_30,Electricity distribution and transmission,3,-2001040,
EF_70_80,Lighting,3,-2001040,
EF_75,"Communications, security, safety and protection functions",2,-2008081,
EF_75_10,Communication,3,-2008081,
EF_75_30,Signalling,3,-2008081,
EF_75_40,Security,3,-2008079,
Pr_20_29,Fastener products,3,-2009030,
Pr_20_29_03,Anchors and components,4,-2009030,
Pr_20_29_03_04,Anchor blocks,5,-2009030,
Pr_20_29_03_05,Anchor rails,5,-2009030,
Pr_20_29_03_10,Carbon steel anchor plates,5,-2009030,
Pr_20_29_03_11,Carbon steel chemical anchor rods,5,-2009030,
Pr_20_29_03_12,Carbon steel chemical anchor sockets,5,-2009030,
Pr_20_29_03_13,Carbon steel post base plates,5,-2009030,
Pr_20_29_03_14,Carbon steel post spikes,5,-2009030,
Pr_20_29_03_15,Cavity anchors,5,-2009030,
Pr_20_29_03_16,Chemical anchor capsules,5,-2009030,
Pr_20_29_03_17,Chemical anchor cartridges,5,-2009030,
Pr_20_29_03_18,Chemical anchors,5,-2009030,
Pr_20_29_03_28,Expansion anchors,5,-2009030,
Pr_20_29_03_30,Fixing discs,5,-2009030,
Pr_20_29_03_31,Framing anchors,5,-2009030,
Pr_20_29_03_32,Framing fasteners,5,-2009030,
Pr_20_29_03_33,Ground anchor heads,5,-2009030,
Pr_20_29_03_34,Ground plate anchors,5,-2009030,
Pr_20_29_03_35,Grouted ground anchors,5,-2009030,
Pr_20_29_03_36,Hammer-in fasteners,5,-2009030,
Pr_20_29_03_44,J-pins,5,-2009030,
Pr_20_29_03_47,Lifting anchors,5,-2009030,
Pr_20_29_03_48,Lifting hoops,5,-2009030,
Pr_20_29_03_66,Prestressing anchors,5,-2009030,
Pr_20_29_03_72,Rock bolts,5,-2009030,
Pr_20_29_03_73,Rock dowels,5,-2009030,
Pr_20_29_03_77,Socket anchors,5,-2009030,
Pr_20_29_03_78,Solar module roof anchors,5,-2009030,
Pr_20_29_03_79,Split rings,5,-2009030,
Pr_20_29_03_80,Sprayed concrete anchor studs,5,-2009030,
Pr_20_29_03_81,Sprayed concrete ties,5,-2009030,
Pr_20_29_03_82,Stainless steel anchor plates,5,-2009030,
Pr_20_29_03_83,Stainless steel chemical anchor rods,5,-2009030,
Pr_20_29_03_84,Stainless steel chemical anchor sockets,5,-2009030,
Pr_20_29_03_86,Structural anchors,5,-2009030,
Pr_20_29_03_88,Threaded anchors,5,-2009030,
Pr_20_29_03_92,Undercut anchors,5,-2009030,
Pr_20_29_03_97,Wedge anchors,5,-2009030,
Pr_20_29_04,Angle fasteners,4,-2009030,
Pr_20_29_04_26,Equal angles fasteners,5,-2009030,
Pr_20_29_04_27,Equipment fasteners,5,-2009030,
Pr_20_29_08,Bolts and accessories,4,-2009030,
Pr_20_29_08_04,Anchor bolts,5,-2009030,
Pr_20_29_08_07,Black hexagon nuts and bolts,5,-2009030,
Pr_20_29_08_08,Bolt boxes,5,-2009030,
Pr_20_29_08_11,Carbon steel hexagon headed nuts and bolts,5,-2009030,
Pr_20_29_08_12,Carbon steel hook bolts (J-bolts) ,5,-2009030,
Pr_20_29_08_15,Coach (carriage) bolts and nuts,5,-2009030,
Pr_20_29_08_18,Crossing bolts,5,-2009030,
Pr_20_29_08_26,Elevator bolts,5,-2009030,
Pr_20_29_08_27,Eye bolts,5,-2009030,
Pr_20_29_08_28,Expanding bolts,5,-2009030,
Pr_20_29_08_30,Fishplate bolts,5,-2009030,
Pr_20_29_08_32,Flangeway bolts,5,-2009030,
Pr_20_29_08_36,Hanger bolts,5,-2009030,
Pr_20_29_08_38,Holding down bolt assemblies,5,-2009030,
Pr_20_29_08_42,Indented bolts,5,-2009030,
Pr_20_29_08_46,Lag bolts,5,-2009030,
Pr_20_29_08_57,Nylon gutter bolts,5,-2009030,
Pr_20_29_08_66,Preloaded bolt assemblies,5,-2009030,
Pr_20_29_08_70,Rail securing bolts,5,-2009030,
Pr_20_29_08_78,Shoulder bolts,5,-2009030,
Pr_20_29_08_83,Stainless steel gutter bolts,5,-2009030,
Pr_20_29_08_84,Stainless steel hexagon headed nuts and bolts,5,-2009030,
Pr_20_29_08_85,Stainless steel hook bolts (J-bolts) ,5,-2009030,
Pr_20_29_08_86,Stud bolts,5,-2009030,
Pr_20_29_08_92,U-bolts,5,-2009030,
Pr_20_29_10,Bridge suspension cable accessories,4,-2009030,
Pr_20_29_10_11,Cable sleeves,5,-2009030,
Pr_20_29_10_12,Cable strand sockets,5,-2009030,
Pr_20_29_10_13,Cast steel anchorage couplers,5,-2009030,
Pr_20_29_10_14,Cast steel cable bands,5,-2009030,
Pr_20_29_10_15,Cast steel saddles,5,-2009030,
Pr_20_29_10_16,Cast steel suspender sockets,5,-2009030,
Pr_20_29_10_21,Dampers,5,-2009030,
Pr_20_29_10_79,Sleeve clamps,5,-2009030,
Pr_20_29_14,"Clips, clamps and couplers",4,-2009030,
Pr_20_29_14_07,Beam clamps,5,-2009030,
Pr_20_29_14_08,Beam clips,5,-2009030,
Pr_20_29_14_13,Circlips,5,-2009030,
Pr_20_29_14_15,Coupler connections,5,-2009030,
Pr_20_29_14_16,Colour pipe clips,5,-2009030,
Pr_20_29_14_17,Copper clips,5,-2009030,
Pr_20_29_14_22,Deck board clips,5,-2009030,
Pr_20_29_14_24,Drainage pipe clips,5,-2009030,
Pr_20_29_14_30,Fence panel clips,5,-2009030,
Pr_20_29_14_31,Floor clips,5,-2009030,
Pr_20_29_14_32,Frame cramps,5,-2009030,
Pr_20_29_14_33,Glass panel fixing clips,5,-2009030,
Pr_20_29_14_34,Glass-to-glass clips,5,-2009030,
Pr_20_29_14_35,Glass-to-wall clips,5,-2009030,
Pr_20_29_14_36,Girder clamps,5,-2009030,
Pr_20_29_14_40,Iron clips,5,-2009030,
Pr_20_29_14_45,Lift-off panel clips,5,-2009030,
Pr_20_29_14_50,Masonry cramps,5,-2009030,
Pr_20_29_14_65,Pipe clips,5,-2009030,
Pr_20_29_14_68,Push fit panel clips,5,-2009030,
Pr_20_29_14_76,Security glazing clips,5,-2009030,
Pr_20_29_14_79,Shackles,5,-2009030,
Pr_20_29_14_80,Sound isolation clips,5,-2009030,
Pr_20_29_14_82,Stainless steel spring clips,5,-2009030,
Pr_20_29_14_84,Standing seam fixed clips,5,-2009030,
Pr_20_29_14_85,Standing seam sliding clips,5,-2009030,
Pr_20_29_14_86,Steel clips,5,-2009030,
Pr_20_29_14_87,Suspended ceiling clips,5,-2009030,
Pr_20_29_14_90,Truss clips,5,-2009030,
Pr_20_29_23,Dowels and rods,4,-2009030,
Pr_20_29_23_11,Carbon steel dowel bars,5,-2009030,
Pr_20_29_23_12,Carbon steel rods,5,-2009030,
Pr_20_29_23_22,Dowel bar caps,5,-2009030,
Pr_20_29_23_23,Dowel-retaining fasteners,5,-2009030,
Pr_20_29_23_30,Fibre-reinforced plastics dowels,5,-2009030,
Pr_20_29_23_36,Hardwood dowels,5,-2009030,
Pr_20_29_23_40,Hot welding rods,5,-2009030,
Pr_20_29_23_50,Masonry dowels,5,-2009030,
Pr_20_29_23_52,"Metal dowels, pins and rods",5,-2009030,
Pr_20_29_23_65,Plastics dowel bar caps,5,-2009030,
Pr_20_29_23_80,Softwood dowels,5,-2009030,
Pr_20_29_23_83,Stainless steel dowel bars,5,-2009030,
Pr_20_29_23_84,Stainless steel rods,5,-2009030,
Pr_20_29_23_92,U-pins,5,-2009030,
Pr_20_29_29,Ferrules and sleeves,4,-2009030,
Pr_20_29_29_23,Dowel bar sleeves,5,-2009030,
Pr_20_29_29_29,Ferrules,5,-2009030,
Pr_20_29_29_62,Plastics pile sleeves,5,-2009030,
Pr_20_29_29_66,Prestressed reinforcement cable conduits,5,-2009030,
Pr_20_29_29_84,Spacer sleeves,5,-2009030,
Pr_20_29_29_96,Wire-crimp ferrules,5,-2009030,
Pr_20_29_30,Fixing lugs,4,-2009030,
Pr_20_29_30_11,Cable fixing lugs,5,-2009030,
Pr_20_29_30_12,Carbon steel fixing lugs,5,-2009030,
Pr_20_29_30_24,Door fixing lugs,5,-2009030,
Pr_20_29_30_31,Furniture floor fixing lugs,5,-2009030,
Pr_20_29_30_32,Furniture wall fixing lugs,5,-2009030,
Pr_20_29_30_96,Window fixing lugs,5,-2009030,
Pr_20_29_31,Flat and folded plate fasteners,4,-2009030,
Pr_20_29_31_08,Bolted joint connectors,5,-2009030,
Pr_20_29_31_12,Carbon steel nailing plates,5,-2009030,
Pr_20_29_31_13,Carbon steel punched metal plate fasteners,5,-2009030,
Pr_20_29_31_44,Joist hangers,5,-2009030,
Pr_20_29_31_52,Mortise and tenon joint oak pegs,5,-2009030,
Pr_20_29_31_84,Stainless steel nailing plates,5,-2009030,
Pr_20_29_31_85,Stainless steel punched metal plate fasteners,5,-2009030,
Pr_20_29_34,"Glass fixing plates, brackets and anchors",4,-2009030,
Pr_20_29_34_16,Cast brass glass fixing brackets,5,-2009030,
Pr_20_29_34_34,Glass fin splice plates,5,-2009030,
Pr_20_29_34_35,Glass patch plates,5,-2009030,
Pr_20_29_34_85,Stainless steel glass block panel anchors,5,-2009030,
Pr_20_29_34_86,Stainless steel point connectors,5,-2009030,
Pr_20_29_56,Nails,4,-2009030,
Pr_20_29_56_02,Aluminium nails,5,-2009030,
Pr_20_29_56_03,Annular nails,5,-2009030,
Pr_20_29_56_11,Carbon steel nails,5,-2009030,
Pr_20_29_56_12,Carbon steel wire nails,5,-2009030,
Pr_20_29_56_14,Clout head nails,5,-2009030,
Pr_20_29_56_15,Copper nails,5,-2009030,
Pr_20_29_56_16,Corrugated fasteners,5,-2009030,
Pr_20_29_56_19,Cut clasp nails,5,-2009030,
Pr_20_29_56_20,Cut floor brads,5,-2009030,
Pr_20_29_56_36,Hardboard nails,5,-2009030,
Pr_20_29_56_48,Lost head (round) nails,5,-2009030,
Pr_20_29_56_50,Masonry nails,5,-2009030,
Pr_20_29_56_59,Oval wire nails,5,-2009030,
Pr_20_29_56_60,Panel pins,5,-2009030,
Pr_20_29_56_65,Power-driven nails,5,-2009030,
Pr_20_29_56_78,Shot-fire nails,5,-2009030,
Pr_20_29_56_82,Sprigs,5,-2009030,
Pr_20_29_56_83,Springhead roofing nails,5,-2009030,
Pr_20_29_56_84,Square twisted nails,5,-2009030,
Pr_20_29_56_85,Stainless steel nails,5,-2009030,
Pr_20_29_56_86,Staples,5,-2009030,
Pr_20_29_56_87,Tacks,5,-2009030,
Pr_20_29_56_93,Upholstery nails,5,-2009030,
Pr_20_29_57,Nuts,4,-2009030,
Pr_20_29_57_01,Acorn nuts,5,-2009030,
Pr_20_29_57_02,Aerotite nuts,5,-2009030,
Pr_20_29_57_11,Cage nuts,5,-2009030,
Pr_20_29_57_12,Captive nuts,5,-2009030,
Pr_20_29_57_13,Castle nuts,5,-2009030,
Pr_20_29_57_23,Dome (cap) nuts,5,-2009030,
Pr_20_29_57_30,Flange nuts,5,-2009030,
Pr_20_29_57_35,Hard lock nuts,5,-2009030,
Pr_20_29_57_36,Half nuts,5,-2009030,
Pr_20_29_57_37,Heavy hex nuts,5,-2009030,
Pr_20_29_57_38,Hex nuts,5,-2009030,
Pr_20_29_57_44,Jam nuts,5,-2009030,
Pr_20_29_57_45,K-lock nuts,5,-2009030,
Pr_20_29_57_50,Manifold nuts,5,-2009030,
Pr_20_29_57_56,Nylon-insert jam nuts,5,-2009030,
Pr_20_29_57_57,Nylon-insert lock nuts,5,-2009030,
Pr_20_29_57_66,Prevailing torque lock nuts,5,-2009030,
Pr_20_29_57_75,Self-locking nuts,5,-2009030,
Pr_20_29_57_76,Serrated flange nuts,5,-2009030,
Pr_20_29_57_80,Slotted nuts,5,-2009030,
Pr_20_29_57_83,Square nuts,5,-2009030,
Pr_20_29_57_84,Stover nuts,5,-2009030,
Pr_20_29_57_85,Stud connector (coupling) nuts,5,-2009030,
Pr_20_29_57_88,Tee nuts,5,-2009030,
Pr_20_29_57_96,Wing nuts,5,-2009030,
Pr_20_29_60,"Packings, washers and spacers",4,-2009030,
Pr_20_29_60_07,Bituminous felt packers,5,-2009030,
Pr_20_29_60_17,Crinkle washers,5,-2009030,
Pr_20_29_60_20,Cup (finishing) washers,5,-2009030,
Pr_20_29_60_28,External tooth lock (shake-proof) washers,5,-2009030,
Pr_20_29_60_29,Fender washers,5,-2009030,
Pr_20_29_60_30,Fibre washers,5,-2009030,
Pr_20_29_60_31,Flat washers,5,-2009030,
Pr_20_29_60_32,Formwork cover spacers,5,-2009030,
Pr_20_29_60_34,Grommets,5,-2009030,
Pr_20_29_60_36,Hardwood packers,5,-2009030,
Pr_20_29_60_37,Hardwood wedges,5,-2009030,
Pr_20_29_60_42,Internal tooth lock (shake-proof) washers,5,-2009030,
Pr_20_29_60_58,Ogee washers,5,-2009030,
Pr_20_29_60_59,Open push,5,-2009030,
Pr_20_29_60_60,Packings,5,-2009030,
Pr_20_29_60_61,Parallel circumferential packings,5,-2009030,
Pr_20_29_60_62,Penny (dock) washers,5,-2009030,
Pr_20_29_60_63,Plate (square) washers,5,-2009030,
Pr_20_29_60_64,Plywood packers,5,-2009030,
Pr_20_29_60_65,Polyethylene packers,5,-2009030,
Pr_20_29_60_75,Serrated washers,5,-2009030,
Pr_20_29_60_76,Sealing washers,5,-2009030,
Pr_20_29_60_77,Shims and folding wedges,5,-2009030,
Pr_20_29_60_81,Softwood packs,5,-2009030,
Pr_20_29_60_82,Softwood wedges,5,-2009030,
Pr_20_29_60_84,Sprung (split lock) washers,5,-2009030,
Pr_20_29_60_87,Tapered circumferential packings,5,-2009030,
Pr_20_29_60_96,Washers,5,-2009030,
Pr_20_29_63,Plugs,4,-2009030,
Pr_20_29_63_50,Masonry plugs,5,-2009030,
Pr_20_29_63_63,Plastics plugs,5,-2009030,
Pr_20_29_63_84,Studded cavity drainage membrane plugs,5,-2009030,
Pr_20_29_63_85,Surface plugs and pellets,5,-2009030,
Pr_20_29_70,Rail fasteners,4,-2009030,
Pr_20_29_70_02,Adjustable rail clips,5,-2009030,
Pr_20_29_70_09,Bull head rail keys,5,-2009030,
Pr_20_29_70_11,Cast-in rail clip shoulders,5,-2009030,
Pr_20_29_70_13,Clamp brackets,5,-2009030,
Pr_20_29_70_22,Distance block bolts,5,-2009030,
Pr_20_29_70_31,Fishplates,5,-2009030,
Pr_20_29_70_32,Fishwashers,5,-2009030,
Pr_20_29_70_36,Heel blocks,5,-2009030,
Pr_20_29_70_37,Heel block bolts,5,-2009030,
Pr_20_29_70_41,Insulated fishplates,5,-2009030,
Pr_20_29_70_46,Long defect fishplates,5,-2009030,
Pr_20_29_70_68,Rail anchors,5,-2009030,
Pr_20_29_70_69,Rail clamp assemblies,5,-2009030,
Pr_20_29_70_70,Rail clips,5,-2009030,
Pr_20_29_70_72,Rail joint clamps,5,-2009030,
Pr_20_29_70_73,Rail foot insulators,5,-2009030,
Pr_20_29_70_85,Stock rail anchor bolts,5,-2009030,
Pr_20_29_70_87,Switch rail anchor,5,-2009030,
Pr_20_29_70_96,Weldable rail clip shoulders,5,-2009030,
Pr_20_29_71,Rivets,4,-2009030,
Pr_20_29_71_08,Blind (pop) rivets,5,-2009030,
Pr_20_29_71_24,Drive rivets,5,-2009030,
Pr_20_29_71_30,Flush rivets,5,-2009030,
Pr_20_29_71_31,Friction rivets,5,-2009030,
Pr_20_29_71_59,Oscar rivets,5,-2009030,
Pr_20_29_71_76,Self-pierce rivets,5,-2009030,
Pr_20_29_71_77,Semi-tubular rivets,5,-2009030,
Pr_20_29_71_81,Solid rivets,5,-2009030,
Pr_20_29_76,Screws,4,-2009030,
Pr_20_29_76_11,Carbon steel hexagon head screws,5,-2009030,
Pr_20_29_76_15,Coach screws,5,-2009030,
Pr_20_29_76_28,Eye lags,5,-2009030,
Pr_20_29_76_50,Machine screws,5,-2009030,
Pr_20_29_76_65,Plasterboard screws,5,-2009030,
Pr_20_29_76_72,Rigging screws,5,-2009030,
Pr_20_29_76_75,Self-tapping screws,5,-2009030,
Pr_20_29_76_76,Self-drilling screws,5,-2009030,
Pr_20_29_76_77,Set screws,5,-2009030,
Pr_20_29_76_78,Sheet metal screws,5,-2009030,
Pr_20_29_76_81,Socket screws,5,-2009030,
Pr_20_29_76_85,Stainless steel hexagon head screws,5,-2009030,
Pr_20_29_76_86,Stainless steel screws,5,-2009030,
Pr_20_29_76_88,Thread-cutting machine screws,5,-2009030,
Pr_20_29_76_98,Wood screws,5,-2009030,
Pr_20_29_81,Soil nails,4,-2009030,
Pr_20_29_81_08,Carbon steel bearing plates,5,-2009030,
Pr_20_29_81_09,Carbon steel soil nail anchorage nuts,5,-2009030,
Pr_20_29_81_11,Carbon steel soil nails,5,-2009030,
Pr_20_29_81_56,Non-metallic bearing plates,5,-2009030,
Pr_20_29_81_61,Plastics grouting ducts,5,-2009030,
Pr_20_29_81_63,Plastics soil nails,5,-2009030,
Pr_20_29_81_72,Soil nail centralizers,5,-2009030,
Pr_20_29_81_80,Stainless steel bearing plates,5,-2009030,
Pr_20_29_81_82,Stainless steel soil nail anchorage nuts,5,-2009030,
Pr_20_29_81_84,Stainless steel soil nails,5,-2009030,
Pr_20_29_81_86,Steel wedges,5,-2009030,
Pr_20_29_85,Straw bale fixings,4,-2009030,
Pr_20_29_85_64,Plastics sleeving,5,-2009030,
Pr_20_29_85_65,Polyester straps,5,-2009030,
Pr_20_29_87,Thatch roofing fasteners,4,-2009030,
Pr_20_29_87_36,Hazel staples,5,-2009030,
Pr_20_29_87_37,Hazel sways,5,-2009030,
Pr_20_29_87_52,Metal sways,5,-2009030,
Pr_20_29_87_87,Thatching hooks,5,-2009030,
Pr_20_29_87_96,Willow sways,5,-2009030,
Pr_20_29_88,Tile and fabric fasteners,4,-2009030,
Pr_20_29_88_26,Edge beading,5,-2009030,
Pr_20_29_88_27,Edge beading rails,5,-2009030,
Pr_20_29_88_31,Forked roofing connectors,5,-2009030,
Pr_20_29_88_37,Hip irons,5,-2009030,
Pr_20_29_88_41,Insulation fixing saddle clips,5,-2009030,
Pr_20_29_88_42,Insulation fixing spikes,5,-2009030,
Pr_20_29_88_43,Insulation fixing straps,5,-2009030,
Pr_20_29_88_59,Overlay fasteners,5,-2009030,
Pr_20_29_88_70,Roofing belts,5,-2009030,
Pr_20_29_88_71,Roofing clamps,5,-2009030,
Pr_20_29_88_72,Roofing clamping plates,5,-2009030,
Pr_20_29_88_73,Roofing corner plates,5,-2009030,
